Metadata_pert_name	Metadata_gene_name	Metadata_cell_line	Metadata_agg_method	similarity_metric
Chr2-5	Chr2	ES2	median	0.3704048421472197
Chr2-6	Chr2	ES2	median	0.4101255049361558
DOT1L-1	DOT1L	ES2	median	0.6181048812479203
DOT1L-2	DOT1L	ES2	median	0.6309541423471484
EGFR-1	EGFR	ES2	median	0.7587313390110417
EGFR-2	EGFR	ES2	median	0.8230065988649423
EGLN1-8	EGLN1	ES2	median	0.532784370299106
EGLN1-9	EGLN1	ES2	median	0.7830582317268915
ERBB2-1	ERBB2	ES2	median	0.643345818143667
ERBB2-2	ERBB2	ES2	median	0.6873474711661963
ERBB3-1	ERBB3	ES2	median	0.6328953471592189
ERBB3-2	ERBB3	ES2	median	0.3678487766092776
EZH2-1	EZH2	ES2	median	0.5806826404503852
EZH2-2	EZH2	ES2	median	0.5743715592797947
GLS-1	GLS	ES2	median	0.7863368435339606
GLS-2	GLS	ES2	median	0.6640045929992278
GPX4-1	GPX4	ES2	median	0.8969095415531578
GPX4-2	GPX4	ES2	median	0.8666030614421598
HIF1a-1	HIF1a	ES2	median	0.47165483732869035
HIF1a-2	HIF1a	ES2	median	0.6623986881855185
ITGAV-1	ITGAV	ES2	median	0.8874232449398157
ITGAV-2	ITGAV	ES2	median	0.9121504897023565
JAK3-1	JAK3	ES2	median	0.5486608396892086
JAK3-2	JAK3	ES2	median	0.356308335616567
KIF11-1	KIF11	ES2	median	0.7452562170180163
KIF11-2	KIF11	ES2	median	0.8652780111097206
KRAS-1	KRAS	ES2	median	0.5068714681684056
KRAS-2A	KRAS	ES2	median	0.5475227807883641
KRAS-2B	KRAS	ES2	median	0.42761342660431934
LacZ-2	LacZ	ES2	median	0.5520865252129658
LacZ-3	LacZ	ES2	median	0.508231383782944
Luc-1	Luc	ES2	median	0.627474468135286
Luc-2	Luc	ES2	median	0.4624923985148206
MAPK1-1	MAPK1	ES2	median	0.742499263718954
MAPK1-2	MAPK1	ES2	median	0.7870929299229052
MCL1-2	MCL1	ES2	median	0.6585899048981383
MCL1-5	MCL1	ES2	median	0.5062071186127013
MTOR-1	MTOR	ES2	median	0.27548119416587485
MTOR-2	MTOR	ES2	median	0.7214601503272408
MYC-1	MYC	ES2	median	0.9329872557286194
MYC-2	MYC	ES2	median	0.8224492105910888
ORC4-1	ORC4	ES2	median	0.48169014881727545
ORC4-2	ORC4	ES2	median	0.5795993359066269
PIK3CA-1	PIK3CA	ES2	median	0.6015624918094672
PIK3CA-2	PIK3CA	ES2	median	0.8410925935901762
POLR2D-1	POLR2D	ES2	median	0.8717438625196536
POLR2D-2	POLR2D	ES2	median	0.7581703552908456
PPIB-1	PPIB	ES2	median	0.5259873565654984
PPIB-2	PPIB	ES2	median	0.47981206680654925
PRDX1-1	PRDX1	ES2	median	0.4539259162642565
PRDX1-2	PRDX1	ES2	median	0.6728549347408476
PSMA1-1	PSMA1	ES2	median	0.7779900635052417
PSMA1-2	PSMA1	ES2	median	0.8389759751188166
PTK2-1	PTK2	ES2	median	0.6141855320174523
PTK2-2	PTK2	ES2	median	0.6649179813664962
RAC1-1	RAC1	ES2	median	0.6401995661517788
RAC1-2	RAC1	ES2	median	0.5144688703499242
RAF1-1	RAF1	ES2	median	0.709621991745896
RAF1-2	RAF1	ES2	median	0.6474505142789695
RHOA-1	RHOA	ES2	median	0.6360832576172272
RHOA-2	RHOA	ES2	median	0.6618170250677422
SDHB-1	SDHB	ES2	median	0.5143825087266437
SDHB-2	SDHB	ES2	median	0.5651722801722575
SLC2A1-1	SLC2A1	ES2	median	0.7469729125833775
SLC2A2-2	SLC2A2	ES2	median	0.8268148960842119
SMARCB1-1	SMARCB1	ES2	median	0.555883473821137
SMARCB1-2	SMARCB1	ES2	median	0.40902566035660093
STAT3-1	STAT3	ES2	median	0.5276198112840916
STAT3-2	STAT3	ES2	median	0.6499113216512618
SUZ12-1	SUZ12	ES2	median	0.4385373353087889
SUZ12-2	SUZ12	ES2	median	0.7630052072524637
TXN-1	TXN	ES2	median	0.7206314090137603
TXN-2	TXN	ES2	median	0.7634775628928201
XBP-1	XBP	ES2	median	0.46476610086072
XBP-2	XBP	ES2	median	0.7853718442148184
YAP1-1	YAP1	ES2	median	0.5916349497482494
YAP1-2	YAP1	ES2	median	0.9152565736107595
AKT1-1	AKT1	HCC44	median	0.5574613047489726
AKT1-2	AKT1	HCC44	median	0.636614643678849
ARID1B-1	ARID1B	HCC44	median	0.5407183921752939
ARID1B-2	ARID1B	HCC44	median	0.5913731935246547
ATF4-1	ATF4	HCC44	median	0.801601833512483
ATF4-2	ATF4	HCC44	median	0.7762169519203407
ATP50-1	ATP50	HCC44	median	0.7895414310016647
ATP50-2	ATP50	HCC44	median	0.7817406466429062
AURKB-2	AURKB	HCC44	median	0.628282489786297
BCL2-1	BCL2	HCC44	median	0.6138731759600633
BCL2-2	BCL2	HCC44	median	0.5913409962501321
BCL2L2-1	BCL2L2	HCC44	median	0.6910416425364329
BCL2L2-2	BCL2L2	HCC44	median	0.6313760182743574
BCL2L2-4	BCL2L2	HCC44	median	0.665512872120024
BRAF-2	BRAF	HCC44	median	0.6511619711410437
BRAF1-1	BRAF1	HCC44	median	0.6101204784580119
BRCA1-1	BRCA1	HCC44	median	0.6764589374179439
BRCA1-2	BRCA1	HCC44	median	0.4613224786042655
BRD4-1	BRD4	HCC44	median	0.7472155132862759
BRD4-2	BRD4	HCC44	median	0.837191763503105
CCND1-1	CCND1	HCC44	median	0.7126366998819447
CCND1-2	CCND1	HCC44	median	0.8214143191287989
CCNE1-1	CCNE1	HCC44	median	0.8865982556887934
CCNE1-2	CCNE1	HCC44	median	0.7884519040734048
CDK2-1	CDK2	HCC44	median	0.6934796768794241
CDK2-2	CDK2	HCC44	median	0.8520894336636264
CDK4-1	CDK4	HCC44	median	0.746805029336275
CDK4-2	CDK4	HCC44	median	0.5935052739160727
CDK4-3	CDK4	HCC44	median	0.6878924048305225
CHEK2-1	CHEK2	HCC44	median	0.5021272032161034
CHEK2-2	CHEK2	HCC44	median	0.7415673030924674
COX5B-1	COX5B	HCC44	median	0.5551696123488443
COX5B-2	COX5B	HCC44	median	0.7007689608509006
CSNK1A1-1	CSNK1A1	HCC44	median	0.7747833332073475
CSNK1A1-2	CSNK1A1	HCC44	median	0.6007047703262575
CTNNB1-1	CTNNB1	HCC44	median	0.72660243699117
CTNNB1-2	CTNNB1	HCC44	median	0.5871154573970486
Chr2-1	Chr2	HCC44	median	0.3149734553770379
Chr2-2	Chr2	HCC44	median	0.32452610864567727
Chr2-3	Chr2	HCC44	median	0.4323059194786727
Chr2-4	Chr2	HCC44	median	0.3678505384234376
Chr2-5	Chr2	HCC44	median	0.3649823395837809
Chr2-6	Chr2	HCC44	median	0.40857603010526455
DOT1L-1	DOT1L	HCC44	median	0.5493401143742812
DOT1L-2	DOT1L	HCC44	median	0.6490436672095631
EGFR-1	EGFR	HCC44	median	0.7439134889719636
EGFR-2	EGFR	HCC44	median	0.7587385178708653
EGLN1-8	EGLN1	HCC44	median	0.6618988930605793
EGLN1-9	EGLN1	HCC44	median	0.7708079516558257
ERBB2-1	ERBB2	HCC44	median	0.6452132785506118
ERBB2-2	ERBB2	HCC44	median	0.7121336370616376
ERBB3-1	ERBB3	HCC44	median	0.7863468789017994
ERBB3-2	ERBB3	HCC44	median	0.6027920524563194
EZH2-1	EZH2	HCC44	median	0.7136179309035239
EZH2-2	EZH2	HCC44	median	0.6166120564284183
GLS-1	GLS	HCC44	median	0.8250279143556336
GLS-2	GLS	HCC44	median	0.680915574154854
GPX4-1	GPX4	HCC44	median	0.6254941366295641
GPX4-2	GPX4	HCC44	median	0.6416093335749606
HIF1a-1	HIF1a	HCC44	median	0.6010793762625407
HIF1a-2	HIF1a	HCC44	median	0.6653726336143264
ITGAV-1	ITGAV	HCC44	median	0.9407399358215363
ITGAV-2	ITGAV	HCC44	median	0.9269504441845362
JAK3-1	JAK3	HCC44	median	0.6697981216197455
JAK3-2	JAK3	HCC44	median	0.5210354075851688
KIF11-1	KIF11	HCC44	median	0.8654539463527752
KIF11-2	KIF11	HCC44	median	0.8454961954956042
KRAS-1	KRAS	HCC44	median	0.71847463945217
KRAS-2A	KRAS	HCC44	median	0.8124244680152745
KRAS-2B	KRAS	HCC44	median	0.5666793153625358
LacZ-2	LacZ	HCC44	median	0.6417974608243692
LacZ-3	LacZ	HCC44	median	0.6812372477386951
Luc-1	Luc	HCC44	median	0.7850099322562301
Luc-2	Luc	HCC44	median	0.6026945616322987
MAPK1-1	MAPK1	HCC44	median	0.5764985452020205
MAPK1-2	MAPK1	HCC44	median	0.6036804622272932
MCL1-2	MCL1	HCC44	median	0.6203514504720995
MCL1-5	MCL1	HCC44	median	0.7211857507513785
MTOR-1	MTOR	HCC44	median	0.5602686701193277
MTOR-2	MTOR	HCC44	median	0.6874443397405984
MYC-1	MYC	HCC44	median	0.9291608832357264
MYC-2	MYC	HCC44	median	0.9117065554309419
ORC4-1	ORC4	HCC44	median	0.635923110440691
ORC4-2	ORC4	HCC44	median	0.6879876847097746
PIK3CA-1	PIK3CA	HCC44	median	0.8553190517391726
PIK3CA-2	PIK3CA	HCC44	median	0.796741481119989
POLR2D-1	POLR2D	HCC44	median	0.9187534252545297
POLR2D-2	POLR2D	HCC44	median	0.8851833666868315
PPIB-1	PPIB	HCC44	median	0.5858932752917303
PPIB-2	PPIB	HCC44	median	0.5453000057836122
PRDX1-1	PRDX1	HCC44	median	0.5716146612141586
PRDX1-2	PRDX1	HCC44	median	0.7324295025178725
PSMA1-1	PSMA1	HCC44	median	0.860572108074797
PSMA1-2	PSMA1	HCC44	median	0.8805519087877379
PTK2-1	PTK2	HCC44	median	0.6811561812103669
PTK2-2	PTK2	HCC44	median	0.7294944878152984
RAC1-1	RAC1	HCC44	median	0.7386138212483433
RAC1-2	RAC1	HCC44	median	0.6265864122092472
RAF1-1	RAF1	HCC44	median	0.7922645203145782
RAF1-2	RAF1	HCC44	median	0.8102570382576161
RHOA-1	RHOA	HCC44	median	0.7288893642945015
RHOA-2	RHOA	HCC44	median	0.7596562861615896
SDHB-1	SDHB	HCC44	median	0.6512402214357419
SDHB-2	SDHB	HCC44	median	0.7489664353731497
SLC2A1-1	SLC2A1	HCC44	median	0.7336732163034723
SLC2A2-2	SLC2A2	HCC44	median	0.736112111507906
SMARCB1-1	SMARCB1	HCC44	median	0.5668819582585511
SMARCB1-2	SMARCB1	HCC44	median	0.41911128088091665
STAT3-1	STAT3	HCC44	median	0.6004020740569028
STAT3-2	STAT3	HCC44	median	0.7216363656482123
SUZ12-1	SUZ12	HCC44	median	0.7404042349304022
SUZ12-2	SUZ12	HCC44	median	0.869522513254537
TXN-1	TXN	HCC44	median	0.6843240400961277
TXN-2	TXN	HCC44	median	0.6987829672860875
XBP-1	XBP	HCC44	median	0.6220040642199184
XBP-2	XBP	HCC44	median	0.8290100403426865
YAP1-1	YAP1	HCC44	median	0.6375430110835619
YAP1-2	YAP1	HCC44	median	0.7159537865122779
AKT1-1	AKT1	A549	median	0.46434733185839167
AKT1-2	AKT1	A549	median	0.5403371678862312
ARID1B-1	ARID1B	A549	median	0.3922486794113124
ARID1B-2	ARID1B	A549	median	0.5574315380316749
ATF4-1	ATF4	A549	median	0.8179223968451699
ATF4-2	ATF4	A549	median	0.8972011784003824
ATP50-1	ATP50	A549	median	0.534773591494773
ATP50-2	ATP50	A549	median	0.5842233067209591
AURKB-2	AURKB	A549	median	0.5750810525727177
BCL2-1	BCL2	A549	median	0.48558583839023334
BCL2-2	BCL2	A549	median	0.47282182920598087
BCL2L2-1	BCL2L2	A549	median	0.41505372062446455
BCL2L2-2	BCL2L2	A549	median	0.47472452958471106
BCL2L2-4	BCL2L2	A549	median	0.39491040053865634
BRAF-2	BRAF	A549	median	0.46703129208398647
BRAF1-1	BRAF1	A549	median	0.5231587743774742
BRCA1-1	BRCA1	A549	median	0.38764870679948665
BRCA1-2	BRCA1	A549	median	0.6450685825122974
BRD4-1	BRD4	A549	median	0.5797495483132998
BRD4-2	BRD4	A549	median	0.7185549327939027
CCND1-1	CCND1	A549	median	0.7578531569198825
CCND1-2	CCND1	A549	median	0.9141778810422894
CCNE1-1	CCNE1	A549	median	0.8198422789659967
CCNE1-2	CCNE1	A549	median	0.7759527043746858
CDK2-1	CDK2	A549	median	0.6478379240074175
CDK2-2	CDK2	A549	median	0.8472719816859752
CDK4-1	CDK4	A549	median	0.6989953204275561
CDK4-2	CDK4	A549	median	0.4946710525551574
CDK4-3	CDK4	A549	median	0.7014104897296162
CHEK2-1	CHEK2	A549	median	0.6147707186482159
CHEK2-2	CHEK2	A549	median	0.3144435196308642
COX5B-1	COX5B	A549	median	0.4803203206743956
COX5B-2	COX5B	A549	median	0.428467439492322
CSNK1A1-1	CSNK1A1	A549	median	0.4762885947449277
CSNK1A1-2	CSNK1A1	A549	median	0.28735123664970696
CTNNB1-1	CTNNB1	A549	median	0.44564444281262355
CTNNB1-2	CTNNB1	A549	median	0.42001856710364915
Chr2-1	Chr2	A549	median	0.2764501415608851
Chr2-2	Chr2	A549	median	0.3477534038385164
Chr2-3	Chr2	A549	median	0.41595847670198804
Chr2-4	Chr2	A549	median	0.39037860396767315
Chr2-5	Chr2	A549	median	0.3415758874164372
Chr2-6	Chr2	A549	median	0.4072391008583428
DOT1L-1	DOT1L	A549	median	0.5960959886931081
DOT1L-2	DOT1L	A549	median	0.472182181755455
EGFR-1	EGFR	A549	median	0.5748324776695152
EGFR-2	EGFR	A549	median	0.5055034156978514
EGLN1-8	EGLN1	A549	median	0.4526563672513599
EGLN1-9	EGLN1	A549	median	0.5125487095409083
ERBB2-1	ERBB2	A549	median	0.7818626619824426
ERBB2-2	ERBB2	A549	median	0.6959339783499952
ERBB3-1	ERBB3	A549	median	0.5735885143695427
ERBB3-2	ERBB3	A549	median	0.6000376287134158
EZH2-1	EZH2	A549	median	0.6565254935994768
EZH2-2	EZH2	A549	median	0.525235295760178
GLS-1	GLS	A549	median	0.5312845375658679
GLS-2	GLS	A549	median	0.8189261835431499
GPX4-1	GPX4	A549	median	0.5956687460174064
GPX4-2	GPX4	A549	median	0.5868463871024197
HIF1a-1	HIF1a	A549	median	0.472948712584018
HIF1a-2	HIF1a	A549	median	0.43041074520471273
ITGAV-1	ITGAV	A549	median	0.801678694602153
ITGAV-2	ITGAV	A549	median	0.8588065057744774
JAK3-1	JAK3	A549	median	0.5395263927518046
JAK3-2	JAK3	A549	median	0.33916854932190194
KIF11-1	KIF11	A549	median	0.7623613872237118
KIF11-2	KIF11	A549	median	0.8327406549671975
KRAS-1	KRAS	A549	median	0.6514378026209605
KRAS-2A	KRAS	A549	median	0.6250434600079928
KRAS-2B	KRAS	A549	median	0.34228814873205576
LacZ-2	LacZ	A549	median	0.4544073599923442
LacZ-3	LacZ	A549	median	0.4616855816749088
Luc-1	Luc	A549	median	0.700760094604961
Luc-2	Luc	A549	median	0.564806684986495
MAPK1-1	MAPK1	A549	median	0.4357906556272633
MAPK1-2	MAPK1	A549	median	0.6100392775437471
MCL1-2	MCL1	A549	median	0.49348883039182345
MCL1-5	MCL1	A549	median	0.5002697807341244
MTOR-1	MTOR	A549	median	0.4886410491731149
MTOR-2	MTOR	A549	median	0.5097962740968892
MYC-1	MYC	A549	median	0.8273120549014166
MYC-2	MYC	A549	median	0.8094024598510651
ORC4-1	ORC4	A549	median	0.4065611602767725
ORC4-2	ORC4	A549	median	0.5085969941508658
PIK3CA-1	PIK3CA	A549	median	0.6476785360567143
PIK3CA-2	PIK3CA	A549	median	0.6348717372705653
POLR2D-1	POLR2D	A549	median	0.819361478536482
POLR2D-2	POLR2D	A549	median	0.7662058942341998
PPIB-1	PPIB	A549	median	0.5159078736585725
PPIB-2	PPIB	A549	median	0.508210671321857
PRDX1-1	PRDX1	A549	median	0.4489475725683381
PRDX1-2	PRDX1	A549	median	0.500112991592829
PSMA1-1	PSMA1	A549	median	0.6684192959972473
PSMA1-2	PSMA1	A549	median	0.8324182243465813
PTK2-1	PTK2	A549	median	0.6736548633056247
PTK2-2	PTK2	A549	median	0.6312710891348183
RAC1-1	RAC1	A549	median	0.45604219316224753
RAC1-2	RAC1	A549	median	0.44189659409516174
RAF1-1	RAF1	A549	median	0.40985536453005816
RAF1-2	RAF1	A549	median	0.6061167071798096
RHOA-1	RHOA	A549	median	0.5582059335796817
RHOA-2	RHOA	A549	median	0.43419659513539094
SDHB-1	SDHB	A549	median	0.4502746326808427
SDHB-2	SDHB	A549	median	0.39282286107372183
SLC2A1-1	SLC2A1	A549	median	0.5074361913839259
SLC2A2-2	SLC2A2	A549	median	0.6285426134522193
SMARCB1-1	SMARCB1	A549	median	0.24840275183849295
SMARCB1-2	SMARCB1	A549	median	0.17128330056004631
STAT3-1	STAT3	A549	median	0.4996342843635102
STAT3-2	STAT3	A549	median	0.4136754483380881
SUZ12-1	SUZ12	A549	median	0.6975248570136688
SUZ12-2	SUZ12	A549	median	0.7885204329202115
TXN-1	TXN	A549	median	0.6180151479171763
TXN-2	TXN	A549	median	0.7447917803009294
XBP-1	XBP	A549	median	0.6413490284735789
XBP-2	XBP	A549	median	0.7587224666777826
YAP1-1	YAP1	A549	median	0.5667542914104361
YAP1-2	YAP1	A549	median	0.7240944786004355
AKT1-1	AKT1	ES2	weighted	0.0137598889539609
AKT1-2	AKT1	ES2	weighted	-0.02741248463518795
ARID1B-1	ARID1B	ES2	weighted	0.26501565604445504
ARID1B-2	ARID1B	ES2	weighted	0.11035141403664163
ATF4-1	ATF4	ES2	weighted	0.30804136326727116
ATF4-2	ATF4	ES2	weighted	-0.6477515418038596
ATP50-1	ATP50	ES2	weighted	0.7812306702604552
ATP50-2	ATP50	ES2	weighted	0.05698616268044571
AURKB-2	AURKB	ES2	weighted	0.374192717816143
BCL2-1	BCL2	ES2	weighted	-0.34265143691192296
BCL2-2	BCL2	ES2	weighted	0.6802249652980488
BCL2L2-1	BCL2L2	ES2	weighted	-0.1349785186814093
BCL2L2-2	BCL2L2	ES2	weighted	0.5459317551933425
BCL2L2-4	BCL2L2	ES2	weighted	-0.20833241145367762
BRAF-2	BRAF	ES2	weighted	0.9089834489808684
BRAF1-1	BRAF1	ES2	weighted	0.6309506514556579
BRCA1-1	BRCA1	ES2	weighted	0.3754338205245998
BRCA1-2	BRCA1	ES2	weighted	0.757632762672308
BRD4-1	BRD4	ES2	weighted	0.5194219527015409
BRD4-2	BRD4	ES2	weighted	0.4312728710928871
CCND1-1	CCND1	ES2	weighted	0.8770036196901828
CCND1-2	CCND1	ES2	weighted	0.9439304363778759
CCNE1-1	CCNE1	ES2	weighted	0.5492400752439056
CCNE1-2	CCNE1	ES2	weighted	0.7109203956245551
CDK2-1	CDK2	ES2	weighted	0.8555451269385074
CDK2-2	CDK2	ES2	weighted	0.8487426237254637
CDK4-1	CDK4	ES2	weighted	0.9324070101491863
CDK4-2	CDK4	ES2	weighted	0.8970594492219455
CDK4-3	CDK4	ES2	weighted	0.7677052076087635
CHEK2-1	CHEK2	ES2	weighted	0.8673501283276792
CHEK2-2	CHEK2	ES2	weighted	0.7566962500375303
COX5B-1	COX5B	ES2	weighted	0.3077111362216841
COX5B-2	COX5B	ES2	weighted	0.306913277442383
CSNK1A1-1	CSNK1A1	ES2	weighted	0.7508303248179808
CSNK1A1-2	CSNK1A1	ES2	weighted	0.23892871139532657
CTNNB1-1	CTNNB1	ES2	weighted	0.6823787447366814
CTNNB1-2	CTNNB1	ES2	weighted	0.06150734262940508
Chr2-1	Chr2	ES2	weighted	0.28178973570238475
Chr2-2	Chr2	ES2	weighted	0.07023194356388808
Chr2-3	Chr2	ES2	weighted	0.07791771887114632
Chr2-4	Chr2	ES2	weighted	0.0033097442475905695
Chr2-5	Chr2	ES2	weighted	0.29457319971194584
Chr2-6	Chr2	ES2	weighted	0.2534918353938751
DOT1L-1	DOT1L	ES2	weighted	0.04040909771213858
DOT1L-2	DOT1L	ES2	weighted	0.5147521308356894
EGFR-1	EGFR	ES2	weighted	0.35168817475153835
EGFR-2	EGFR	ES2	weighted	0.6511376222860777
EGLN1-8	EGLN1	ES2	weighted	0.7561218710341854
EGLN1-9	EGLN1	ES2	weighted	0.8822614174604116
ERBB2-1	ERBB2	ES2	weighted	0.26983055434742065
ERBB2-2	ERBB2	ES2	weighted	0.815413608476405
ERBB3-1	ERBB3	ES2	weighted	-0.3655149610861402
ERBB3-2	ERBB3	ES2	weighted	0.05121814931840533
EZH2-1	EZH2	ES2	weighted	0.8796178440643466
EZH2-2	EZH2	ES2	weighted	0.8730176378339445
GLS-1	GLS	ES2	weighted	0.33295422241734207
GLS-2	GLS	ES2	weighted	0.25732052981452624
GPX4-1	GPX4	ES2	weighted	0.9230609022576073
GPX4-2	GPX4	ES2	weighted	0.8758275537889351
HIF1a-1	HIF1a	ES2	weighted	0.23977376475765233
HIF1a-2	HIF1a	ES2	weighted	0.3662508231495825
ITGAV-1	ITGAV	ES2	weighted	0.9205414985915558
ITGAV-2	ITGAV	ES2	weighted	0.9403443187865368
JAK3-1	JAK3	ES2	weighted	0.6216613826232764
JAK3-2	JAK3	ES2	weighted	0.28339902432981007
KIF11-1	KIF11	ES2	weighted	0.3646315935445898
KIF11-2	KIF11	ES2	weighted	0.6258116778667492
KRAS-1	KRAS	ES2	weighted	0.686711420203407
KRAS-2A	KRAS	ES2	weighted	0.08606248947448733
KRAS-2B	KRAS	ES2	weighted	-0.230451011385783
LacZ-2	LacZ	ES2	weighted	0.4714117476817238
LacZ-3	LacZ	ES2	weighted	0.7162635137524378
Luc-1	Luc	ES2	weighted	0.29114901621637745
Luc-2	Luc	ES2	weighted	0.5019986640079112
MAPK1-1	MAPK1	ES2	weighted	0.8816685214671697
MAPK1-2	MAPK1	ES2	weighted	0.891437851450077
MCL1-2	MCL1	ES2	weighted	0.05188509313785592
MCL1-5	MCL1	ES2	weighted	0.7054347961970271
MTOR-1	MTOR	ES2	weighted	-0.334340836981148
MTOR-2	MTOR	ES2	weighted	-0.2717561956449415
MYC-1	MYC	ES2	weighted	0.9468275767498825
MYC-2	MYC	ES2	weighted	0.89026359364358
ORC4-1	ORC4	ES2	weighted	0.07692103650612084
ORC4-2	ORC4	ES2	weighted	0.48299343485201857
PIK3CA-1	PIK3CA	ES2	weighted	-0.41350103897293694
PIK3CA-2	PIK3CA	ES2	weighted	-0.5001692399619625
POLR2D-1	POLR2D	ES2	weighted	0.9071643481110261
POLR2D-2	POLR2D	ES2	weighted	0.8553332052650473
PPIB-1	PPIB	ES2	weighted	-0.10814796954199218
PPIB-2	PPIB	ES2	weighted	0.8121808027187968
PRDX1-1	PRDX1	ES2	weighted	-0.3099900596928261
PRDX1-2	PRDX1	ES2	weighted	0.5620850700200787
PSMA1-1	PSMA1	ES2	weighted	0.9162103645741217
PSMA1-2	PSMA1	ES2	weighted	0.9031775858376552
PTK2-1	PTK2	ES2	weighted	0.7051575043617884
PTK2-2	PTK2	ES2	weighted	0.5362113888638603
RAC1-1	RAC1	ES2	weighted	-0.21682727234754062
RAC1-2	RAC1	ES2	weighted	0.15044570682801944
RAF1-1	RAF1	ES2	weighted	0.49412253241513815
RAF1-2	RAF1	ES2	weighted	0.06406532806518875
RHOA-1	RHOA	ES2	weighted	0.79990541612659
RHOA-2	RHOA	ES2	weighted	0.7501557654715821
SDHB-1	SDHB	ES2	weighted	0.7332912606547105
SDHB-2	SDHB	ES2	weighted	0.8167921704821742
SLC2A1-1	SLC2A1	ES2	weighted	0.5957487726994992
SLC2A2-2	SLC2A2	ES2	weighted	0.5535590778136011
SMARCB1-1	SMARCB1	ES2	weighted	0.7727443491124409
SMARCB1-2	SMARCB1	ES2	weighted	0.22113203091978806
STAT3-1	STAT3	ES2	weighted	-0.41959599593799685
STAT3-2	STAT3	ES2	weighted	0.3372602373067379
SUZ12-1	SUZ12	ES2	weighted	0.6716416858783831
SUZ12-2	SUZ12	ES2	weighted	-0.5460008178575378
TXN-1	TXN	ES2	weighted	0.2885412268707139
TXN-2	TXN	ES2	weighted	-0.12408231877585234
XBP-1	XBP	ES2	weighted	0.17445430652788108
XBP-2	XBP	ES2	weighted	0.7514659408290533
YAP1-1	YAP1	ES2	weighted	0.5334191483164488
YAP1-2	YAP1	ES2	weighted	0.9307277082314945
AKT1-1	AKT1	HCC44	weighted	0.8615749882569977
AKT1-2	AKT1	HCC44	weighted	-0.2060707082453227
ARID1B-1	ARID1B	HCC44	weighted	0.79258318706779
ARID1B-2	ARID1B	HCC44	weighted	0.3512032973703285
ATF4-1	ATF4	HCC44	weighted	0.8630856956600695
ATF4-2	ATF4	HCC44	weighted	0.7981587882791364
ATP50-1	ATP50	HCC44	weighted	0.9092157612401951
ATP50-2	ATP50	HCC44	weighted	0.7137907147613699
AURKB-2	AURKB	HCC44	weighted	0.4386536967287104
BCL2-1	BCL2	HCC44	weighted	0.5812379335988949
BCL2-2	BCL2	HCC44	weighted	0.849445594645817
BCL2L2-1	BCL2L2	HCC44	weighted	0.5553095449373466
BCL2L2-2	BCL2L2	HCC44	weighted	0.8960331162647978
BCL2L2-4	BCL2L2	HCC44	weighted	0.6074028896875375
BRAF-2	BRAF	HCC44	weighted	0.14047865323508807
BRAF1-1	BRAF1	HCC44	weighted	0.7635698788102864
BRCA1-1	BRCA1	HCC44	weighted	-0.09784553818706726
