Metadata_gene_name	Metadata_cell_line	Metadata_agg_method	similarity_metric
ERBB2	HCC44	median	0.6939968760207209
ERBB3	HCC44	median	0.7290157710125165
EZH2	HCC44	median	0.7115526750181264
GLS	HCC44	median	0.7665907644650916
GPX4	HCC44	median	0.7520853866973949
HIF1a	HCC44	median	0.6678396546050263
ITGAV	HCC44	median	0.9458143766232732
JAK3	HCC44	median	0.5676031445541068
KIF11	HCC44	median	0.9230434270579335
KRAS	HCC44	median	0.6287399254804686
LacZ	HCC44	median	0.6742782602655513
Luc	HCC44	median	0.7379776425360365
MAPK1	HCC44	median	0.6349787017310825
MCL1	HCC44	median	0.6155445992784169
MTOR	HCC44	median	0.6785689508823567
MYC	HCC44	median	0.9492504331328866
ORC4	HCC44	median	0.6115312757495199
PIK3CA	HCC44	median	0.7770912673113052
POLR2D	HCC44	median	0.9450046922591044
PPIB	HCC44	median	0.5078445937462746
PRDX1	HCC44	median	0.6855288325728444
PSMA1	HCC44	median	0.8758619775919798
PTK2	HCC44	median	0.7354649898348897
RAC1	HCC44	median	0.7543645703460935
RAF1	HCC44	median	0.791057624163821
RHOA	HCC44	median	0.8045973490577873
SDHB	HCC44	median	0.6808602921516209
SLC2A1	HCC44	median	0.719207246059689
SLC2A2	HCC44	median	0.7602430999771517
SMARCB1	HCC44	median	0.4598136265876476
STAT3	HCC44	median	0.6273167366533213
SUZ12	HCC44	median	0.760762463708643
TXN	HCC44	median	0.7354022401465466
XBP	HCC44	median	0.783459016144666
YAP1	HCC44	median	0.5972071561131795
AKT1	A549	median	0.5278464361393327
ARID1B	A549	median	0.5546292018734169
ATF4	A549	median	0.8607059089556537
ATP50	A549	median	0.47432094055428403
AURKB	A549	median	0.6651304321663452
BCL2	A549	median	0.6034749101054571
BCL2L2	A549	median	0.5905953492038014
BRAF	A549	median	0.6169872437341374
BRAF1	A549	median	0.6050485538718395
BRCA1	A549	median	0.6420580850480608
BRD4	A549	median	0.7064150938473382
CCND1	A549	median	0.7961196205383583
CCNE1	A549	median	0.8005519883499179
CDK2	A549	median	0.738602970120978
CDK4	A549	median	0.6434966918373783
CHEK2	A549	median	0.5973744715099927
COX5B	A549	median	0.4752197157441031
CSNK1A1	A549	median	0.4150273808543942
CTNNB1	A549	median	0.40881875804357115
Chr2	A549	median	0.3808765361834328
DOT1L	A549	median	0.5172414956414357
EGFR	A549	median	0.6457282115270928
EGLN1	A549	median	0.4660183820339736
ERBB2	A549	median	0.7288152547438537
ERBB3	A549	median	0.6390739866298587
EZH2	A549	median	0.544217724929358
GLS	A549	median	0.49990837468027327
GPX4	A549	median	0.6177197252508426
HIF1a	A549	median	0.48606059398309065
ITGAV	A549	median	0.8715477655291564
JAK3	A549	median	0.39840996393875255
KIF11	A549	median	0.8065015553639545
KRAS	A549	median	0.4612942075970979
LacZ	A549	median	0.5703002438982248
Luc	A549	median	0.6782093299123302
MAPK1	A549	median	0.4811968307838396
MCL1	A549	median	0.5381023809996529
MTOR	A549	median	0.5842087424469812
MYC	A549	median	0.8551980231082417
ORC4	A549	median	0.49232335821356626
PIK3CA	A549	median	0.6963863847204699
POLR2D	A549	median	0.8259865869034544
PPIB	A549	median	0.4589179599075078
PRDX1	A549	median	0.5582733142886489
PSMA1	A549	median	0.6540050386707206
PTK2	A549	median	0.6411441128542551
RAC1	A549	median	0.46975579196392137
RAF1	A549	median	0.5729981990247157
RHOA	A549	median	0.5904277624733707
SDHB	A549	median	0.5337843807658955
SLC2A1	A549	median	0.5610032657725846
SLC2A2	A549	median	0.6313610538743278
SMARCB1	A549	median	0.22736427113475569
STAT3	A549	median	0.5283718637704219
SUZ12	A549	median	0.6921071844017868
TXN	A549	median	0.6493456265666646
XBP	A549	median	0.6819215294886645
YAP1	A549	median	0.6441349919952464
AKT1	ES2	weighted	0.31700947081079217
ARID1B	ES2	weighted	-0.06233282218209422
ATF4	ES2	weighted	0.35770222675952934
ATP50	ES2	weighted	-0.0629340821422733
AURKB	ES2	weighted	0.38514613675322457
BCL2	ES2	weighted	0.1955453548724908
BCL2L2	ES2	weighted	0.041010860020148455
BRAF	ES2	weighted	0.9154055451842767
BRAF1	ES2	weighted	0.555443182641143
BRCA1	ES2	weighted	0.44098616341966024
BRD4	ES2	weighted	0.5491492790522521
CCND1	ES2	weighted	0.9292553953597125
CCNE1	ES2	weighted	0.6182815087973437
CDK2	ES2	weighted	0.8920218760015648
CDK4	ES2	weighted	0.9324675147386008
CHEK2	ES2	weighted	0.8241804848229777
COX5B	ES2	weighted	0.25127947087677294
CSNK1A1	ES2	weighted	0.3567735517080722
CTNNB1	ES2	weighted	0.11583406452236181
Chr2	ES2	weighted	-0.005058957187477751
DOT1L	ES2	weighted	0.6719360057249371
EGFR	ES2	weighted	0.5125075660886775
EGLN1	ES2	weighted	0.8706839311086506
ERBB2	ES2	weighted	0.5708532589317231
ERBB3	ES2	weighted	0.07527355861514062
EZH2	ES2	weighted	0.8784285170379199
GLS	ES2	weighted	0.16223757100202382
GPX4	ES2	weighted	0.927555685703779
HIF1a	ES2	weighted	0.5182244721535756
ITGAV	ES2	weighted	0.9357997952736136
JAK3	ES2	weighted	0.21630742324502694
KIF11	ES2	weighted	0.7255616296157161
KRAS	ES2	weighted	0.45547338047331726
LacZ	ES2	weighted	0.3145835826494996
Luc	ES2	weighted	0.32872436970075036
MAPK1	ES2	weighted	0.894972545027866
MCL1	ES2	weighted	0.6328137657298321
MTOR	ES2	weighted	-0.11411149695610776
MYC	ES2	weighted	0.9110608608770427
ORC4	ES2	weighted	-0.03117512124132584
PIK3CA	ES2	weighted	0.5821610439386908
POLR2D	ES2	weighted	0.9189974411370218
PPIB	ES2	weighted	0.11103864480720413
PRDX1	ES2	weighted	0.2633563207223497
PSMA1	ES2	weighted	0.9165733940078484
PTK2	ES2	weighted	0.6121713021338269
RAC1	ES2	weighted	0.27503154133999824
RAF1	ES2	weighted	0.3531529689875418
RHOA	ES2	weighted	0.7720283956431506
SDHB	ES2	weighted	0.7373892981741346
SLC2A1	ES2	weighted	0.675846460824242
SLC2A2	ES2	weighted	0.6690108863060004
SMARCB1	ES2	weighted	0.051030653871359105
STAT3	ES2	weighted	0.14635684291635265
SUZ12	ES2	weighted	0.5709083193625815
TXN	ES2	weighted	0.5447542433272008
XBP	ES2	weighted	0.6752738749815881
YAP1	ES2	weighted	0.8780755578746151
AKT1	HCC44	weighted	0.7199346843035738
ARID1B	HCC44	weighted	0.6549702197177403
ATF4	HCC44	weighted	-0.2896318246866161
ATP50	HCC44	weighted	0.1948406639211148
AURKB	HCC44	weighted	0.5878279339863107
BCL2	HCC44	weighted	0.6876199153798002
BCL2L2	HCC44	weighted	0.35273265976295287
BRAF	HCC44	weighted	0.08720591350552992
BRAF1	HCC44	weighted	0.8092188903286063
BRCA1	HCC44	weighted	-0.007546909768519839
BRD4	HCC44	weighted	0.8025433537840031
CCND1	HCC44	weighted	0.47240848893680515
CCNE1	HCC44	weighted	0.7919748774575226
CDK2	HCC44	weighted	0.8685902856402465
CDK4	HCC44	weighted	0.039684944745060555
CHEK2	HCC44	weighted	0.6639752147306573
COX5B	HCC44	weighted	0.36402915027620886
CSNK1A1	HCC44	weighted	0.5924779966835871
CTNNB1	HCC44	weighted	0.36116271445424153
Chr2	HCC44	weighted	-0.003683137452189848
DOT1L	HCC44	weighted	0.9167183116933246
EGFR	HCC44	weighted	0.7150644077328958
EGLN1	HCC44	weighted	0.7543351834624659
ERBB2	HCC44	weighted	0.5412535429979122
ERBB3	HCC44	weighted	0.6986849552666601
EZH2	HCC44	weighted	0.8334919689738058
GLS	HCC44	weighted	0.2459949829043038
GPX4	HCC44	weighted	0.8327790737606199
HIF1a	HCC44	weighted	0.650459027943749
ITGAV	HCC44	weighted	0.9721108954804347
JAK3	HCC44	weighted	0.4905169501388559
KIF11	HCC44	weighted	0.931612949087042
KRAS	HCC44	weighted	0.4836632653048892
LacZ	HCC44	weighted	0.7153341648615957
Luc	HCC44	weighted	0.7921089067153724
MAPK1	HCC44	weighted	0.5296960417115545
MCL1	HCC44	weighted	0.031399707360638913
MTOR	HCC44	weighted	0.9033595593160195
MYC	HCC44	weighted	0.9659110510001674
ORC4	HCC44	weighted	0.29857703298771443
PIK3CA	HCC44	weighted	0.834864297633979
POLR2D	HCC44	weighted	0.9600233947542529
PPIB	HCC44	weighted	0.03401611447166562
PRDX1	HCC44	weighted	0.7368245587323636
PSMA1	HCC44	weighted	0.9256156306271088
PTK2	HCC44	weighted	0.7166861636255557
RAC1	HCC44	weighted	0.8437168883075021
RAF1	HCC44	weighted	0.6815128784579962
RHOA	HCC44	weighted	0.924251333430123
SDHB	HCC44	weighted	0.6037530054610041
SLC2A1	HCC44	weighted	0.5839662223591343
SLC2A2	HCC44	weighted	0.8516891844516008
SMARCB1	HCC44	weighted	0.4836086433224799
STAT3	HCC44	weighted	0.5330319017172831
SUZ12	HCC44	weighted	0.6061172131877526
TXN	HCC44	weighted	0.08379725703792384
XBP	HCC44	weighted	0.7721109758050202
YAP1	HCC44	weighted	0.27534117863814345
AKT1	A549	weighted	0.19843664681853487
ARID1B	A549	weighted	0.25937307335279264
ATF4	A549	weighted	0.9300990226981243
ATP50	A549	weighted	0.5476440446094042
AURKB	A549	weighted	0.27823291434113867
BCL2	A549	weighted	0.18290269073129944
BCL2L2	A549	weighted	0.40329108850217776
BRAF	A549	weighted	0.48694345053517113
BRAF1	A549	weighted	0.24307193091539261
BRCA1	A549	weighted	0.1120981991353645
BRD4	A549	weighted	-0.07820541119071873
CCND1	A549	weighted	0.8511106388740368
CCNE1	A549	weighted	0.9100552662053935
CDK2	A549	weighted	0.8902269358311485
CDK4	A549	weighted	0.8685933255688304
CHEK2	A549	weighted	0.05899453642409262
COX5B	A549	weighted	-0.0023797591858420934
CSNK1A1	A549	weighted	0.42101305460310123
CTNNB1	A549	weighted	0.03564977190456868
Chr2	A549	weighted	0.01808985771405947
DOT1L	A549	weighted	0.4184525452828509
EGFR	A549	weighted	0.7940790256103365
EGLN1	A549	weighted	-0.05576523038688388
ERBB2	A549	weighted	0.8003836011785207
ERBB3	A549	weighted	0.12269440652170177
EZH2	A549	weighted	0.4479453742250036
GLS	A549	weighted	0.368668415042376
GPX4	A549	weighted	-0.08615338105327384
HIF1a	A549	weighted	0.10201638540182448
ITGAV	A549	weighted	0.9301219809603387
JAK3	A549	weighted	-0.007241062792760777
KIF11	A549	weighted	0.9114874660860839
KRAS	A549	weighted	0.19900189154731598
LacZ	A549	weighted	0.7691996388961471
Luc	A549	weighted	0.7874674799122938
MAPK1	A549	weighted	0.10485725808153247
MCL1	A549	weighted	0.3772236061546319
MTOR	A549	weighted	0.5902904607664232
MYC	A549	weighted	0.9158854367883549
ORC4	A549	weighted	0.2067399187909813
PIK3CA	A549	weighted	0.6983402683075356
POLR2D	A549	weighted	0.9055351767745157
PPIB	A549	weighted	-0.3865933476412983
PRDX1	A549	weighted	0.3202053159664764
PSMA1	A549	weighted	0.8558702070708715
PTK2	A549	weighted	0.6466858144666171
RAC1	A549	weighted	0.3905487694665998
RAF1	A549	weighted	-0.05109070842959962
RHOA	A549	weighted	0.4909387499639444
SDHB	A549	weighted	0.07592303877000534
SLC2A1	A549	weighted	0.4836902563054468
SLC2A2	A549	weighted	-0.04499229281286388
SMARCB1	A549	weighted	-0.2433413156846157
STAT3	A549	weighted	0.3869633356224128
SUZ12	A549	weighted	0.8999407317646688
TXN	A549	weighted	0.6976699226271779
XBP	A549	weighted	0.7021178219982327
YAP1	A549	weighted	0.5334330355609835
