perturbation	group	grit	cell_line	barcode_control	cor_method	grit_replicate_summary_method
YAP1-2	YAP1	0.35217420285933415	HCC44	cutting_control	pearson	mean
AKT1-1	AKT1	0.8360332082000899	HCC44	cutting_control	pearson	median
AKT1-2	AKT1	0.8172464806225721	HCC44	cutting_control	pearson	median
ARID1B-1	ARID1B	0.6330309912601957	HCC44	cutting_control	pearson	median
ARID1B-2	ARID1B	0.49350472576157034	HCC44	cutting_control	pearson	median
ATF4-1	ATF4	0.3277702845929915	HCC44	cutting_control	pearson	median
ATF4-2	ATF4	0.609936471283371	HCC44	cutting_control	pearson	median
ATP50-1	ATP50	1.275705126786357	HCC44	cutting_control	pearson	median
ATP50-2	ATP50	0.8997383546465354	HCC44	cutting_control	pearson	median
AURKB-2	AURKB		HCC44	cutting_control	pearson	median
BCL2-1	BCL2	0.5385703305159818	HCC44	cutting_control	pearson	median
BCL2-2	BCL2	0.5920097906140137	HCC44	cutting_control	pearson	median
BCL2L2-1	BCL2L2	-0.09717391147731705	HCC44	cutting_control	pearson	median
BCL2L2-2	BCL2L2	0.22109937693535048	HCC44	cutting_control	pearson	median
BCL2L2-4	BCL2L2	0.468651715676395	HCC44	cutting_control	pearson	median
BRAF-2	BRAF		HCC44	cutting_control	pearson	median
BRAF1-1	BRAF1		HCC44	cutting_control	pearson	median
BRCA1-1	BRCA1	0.5967709794219378	HCC44	cutting_control	pearson	median
BRCA1-2	BRCA1	0.6326083610445334	HCC44	cutting_control	pearson	median
BRD4-1	BRD4	3.1836298870245754	HCC44	cutting_control	pearson	median
BRD4-2	BRD4	2.085230532157518	HCC44	cutting_control	pearson	median
CCND1-1	CCND1	0.711107154719155	HCC44	cutting_control	pearson	median
CCND1-2	CCND1	0.31772836508576174	HCC44	cutting_control	pearson	median
CCNE1-1	CCNE1	1.7365080164257436	HCC44	cutting_control	pearson	median
CCNE1-2	CCNE1	1.337249067905792	HCC44	cutting_control	pearson	median
CDK2-1	CDK2	2.3182950627681898	HCC44	cutting_control	pearson	median
CDK2-2	CDK2	2.1166428022216097	HCC44	cutting_control	pearson	median
CDK4-1	CDK4	0.7671368378095254	HCC44	cutting_control	pearson	median
CDK4-2	CDK4	0.8511827962277831	HCC44	cutting_control	pearson	median
CDK4-3	CDK4	0.37147155471864624	HCC44	cutting_control	pearson	median
CHEK2-1	CHEK2	0.42121403525016354	HCC44	cutting_control	pearson	median
CHEK2-2	CHEK2	0.34896653069846384	HCC44	cutting_control	pearson	median
COX5B-1	COX5B	0.5835314098826401	HCC44	cutting_control	pearson	median
COX5B-2	COX5B	0.17808914613909765	HCC44	cutting_control	pearson	median
CSNK1A1-1	CSNK1A1	2.441693827484048	HCC44	cutting_control	pearson	median
CSNK1A1-2	CSNK1A1	1.9774582738338262	HCC44	cutting_control	pearson	median
CTNNB1-1	CTNNB1	-0.2631137447601415	HCC44	cutting_control	pearson	median
CTNNB1-2	CTNNB1	0.048448869317497915	HCC44	cutting_control	pearson	median
Chr2-1	Chr2	0.19337117933949144	HCC44	cutting_control	pearson	median
Chr2-2	Chr2	0.1900614142072538	HCC44	cutting_control	pearson	median
Chr2-3	Chr2	0.27618803484035226	HCC44	cutting_control	pearson	median
Chr2-4	Chr2	0.08699601748146837	HCC44	cutting_control	pearson	median
Chr2-5	Chr2	0.23150172328590918	HCC44	cutting_control	pearson	median
Chr2-6	Chr2	0.26169994704077393	HCC44	cutting_control	pearson	median
DOT1L-1	DOT1L	1.1968298925167349	HCC44	cutting_control	pearson	median
DOT1L-2	DOT1L	1.496314756048553	HCC44	cutting_control	pearson	median
EGFR-1	EGFR	0.4370373689995269	HCC44	cutting_control	pearson	median
EGFR-2	EGFR	0.027954757811720212	HCC44	cutting_control	pearson	median
EGLN1-8	EGLN1	1.902547431450281	HCC44	cutting_control	pearson	median
EGLN1-9	EGLN1	1.6765049869070423	HCC44	cutting_control	pearson	median
EMPTY	EMPTY		HCC44	cutting_control	pearson	median
ERBB2-1	ERBB2	0.5176507984474985	HCC44	cutting_control	pearson	median
ERBB2-2	ERBB2	0.07100331852329388	HCC44	cutting_control	pearson	median
ERBB3-1	ERBB3	0.4672855927629823	HCC44	cutting_control	pearson	median
ERBB3-2	ERBB3	0.514634627737068	HCC44	cutting_control	pearson	median
EZH2-1	EZH2	1.1118927530829787	HCC44	cutting_control	pearson	median
EZH2-2	EZH2	0.7206502891405578	HCC44	cutting_control	pearson	median
GLS-1	GLS	0.9845887812860006	HCC44	cutting_control	pearson	median
GLS-2	GLS	0.41914653070604296	HCC44	cutting_control	pearson	median
GPX4-1	GPX4	1.2601800152878664	HCC44	cutting_control	pearson	median
GPX4-2	GPX4	1.078605460928511	HCC44	cutting_control	pearson	median
HIF1a-1	HIF1a	0.6226537051129049	HCC44	cutting_control	pearson	median
HIF1a-2	HIF1a	0.6069910930669801	HCC44	cutting_control	pearson	median
ITGAV-1	ITGAV	3.7788349240924584	HCC44	cutting_control	pearson	median
ITGAV-2	ITGAV	3.902763541850458	HCC44	cutting_control	pearson	median
JAK3-1	JAK3	0.5340688197948826	HCC44	cutting_control	pearson	median
JAK3-2	JAK3	0.3915468996695904	HCC44	cutting_control	pearson	median
KIF11-1	KIF11	2.459574961859653	HCC44	cutting_control	pearson	median
KIF11-2	KIF11	2.087403221726857	HCC44	cutting_control	pearson	median
KRAS-1	KRAS	1.6020657579250868	HCC44	cutting_control	pearson	median
KRAS-2A	KRAS	1.3862307998262697	HCC44	cutting_control	pearson	median
KRAS-2B	KRAS	0.8624823638726193	HCC44	cutting_control	pearson	median
LacZ-2	LacZ	0.4059363322521491	HCC44	cutting_control	pearson	median
LacZ-3	LacZ	0.5011045448367197	HCC44	cutting_control	pearson	median
Luc-1	Luc	0.6901115809169927	HCC44	cutting_control	pearson	median
Luc-2	Luc	0.7087923301084988	HCC44	cutting_control	pearson	median
MAPK1-1	MAPK1	0.9030034195175363	HCC44	cutting_control	pearson	median
MAPK1-2	MAPK1	0.9204718788989245	HCC44	cutting_control	pearson	median
MCL1-2	MCL1	0.2497837835853279	HCC44	cutting_control	pearson	median
MCL1-5	MCL1	0.570926031688559	HCC44	cutting_control	pearson	median
MTOR-1	MTOR	1.3810298408598563	HCC44	cutting_control	pearson	median
MTOR-2	MTOR	1.5559641731891245	HCC44	cutting_control	pearson	median
MYC-1	MYC	2.6175597813206055	HCC44	cutting_control	pearson	median
MYC-2	MYC	2.5674450097386226	HCC44	cutting_control	pearson	median
ORC4-1	ORC4	0.15037501869519665	HCC44	cutting_control	pearson	median
ORC4-2	ORC4	-0.10974706482170804	HCC44	cutting_control	pearson	median
PIK3CA-1	PIK3CA	0.5331338166826465	HCC44	cutting_control	pearson	median
PIK3CA-2	PIK3CA	1.0119630944952431	HCC44	cutting_control	pearson	median
POLR2D-1	POLR2D	2.568028037440113	HCC44	cutting_control	pearson	median
POLR2D-2	POLR2D	2.4099746494874514	HCC44	cutting_control	pearson	median
PPIB-1	PPIB	-0.05560676998210294	HCC44	cutting_control	pearson	median
PPIB-2	PPIB	-0.2316012672806676	HCC44	cutting_control	pearson	median
PRDX1-1	PRDX1	0.09896245776037138	HCC44	cutting_control	pearson	median
PRDX1-2	PRDX1	-0.40007603912044176	HCC44	cutting_control	pearson	median
PSMA1-1	PSMA1	2.0463290206972764	HCC44	cutting_control	pearson	median
PSMA1-2	PSMA1	2.1878779995707154	HCC44	cutting_control	pearson	median
PTK2-1	PTK2	2.2481294142110793	HCC44	cutting_control	pearson	median
PTK2-2	PTK2	2.4190699914458618	HCC44	cutting_control	pearson	median
RAC1-1	RAC1	1.0521145258647002	HCC44	cutting_control	pearson	median
RAC1-2	RAC1	0.9266614860819915	HCC44	cutting_control	pearson	median
RAF1-1	RAF1	0.4942136099192119	HCC44	cutting_control	pearson	median
RAF1-2	RAF1	0.693425304944316	HCC44	cutting_control	pearson	median
RHOA-1	RHOA	3.143719460109474	HCC44	cutting_control	pearson	median
RHOA-2	RHOA	3.1205671180514907	HCC44	cutting_control	pearson	median
SDHB-1	SDHB	1.1115070952459827	HCC44	cutting_control	pearson	median
SDHB-2	SDHB	1.003102518684359	HCC44	cutting_control	pearson	median
SLC2A1-1	SLC2A1		HCC44	cutting_control	pearson	median
SLC2A2-2	SLC2A2		HCC44	cutting_control	pearson	median
SMARCB1-1	SMARCB1	0.8806824818659358	HCC44	cutting_control	pearson	median
SMARCB1-2	SMARCB1	1.0457603022559132	HCC44	cutting_control	pearson	median
STAT3-1	STAT3	0.6763503090736049	HCC44	cutting_control	pearson	median
STAT3-2	STAT3	0.39151792430657706	HCC44	cutting_control	pearson	median
SUZ12-1	SUZ12	1.4875875009903274	HCC44	cutting_control	pearson	median
SUZ12-2	SUZ12	1.253526353470579	HCC44	cutting_control	pearson	median
TXN-1	TXN	0.45932849227222017	HCC44	cutting_control	pearson	median
TXN-2	TXN	0.5031363103151757	HCC44	cutting_control	pearson	median
XBP-1	XBP	1.0121470458377682	HCC44	cutting_control	pearson	median
XBP-2	XBP	1.14124478016238	HCC44	cutting_control	pearson	median
YAP1-1	YAP1	0.4463538866706307	HCC44	cutting_control	pearson	median
YAP1-2	YAP1	0.340651590633546	HCC44	cutting_control	pearson	median
AKT1-1	AKT1	0.7604226734907741	HCC44	cutting_control	spearman	mean
AKT1-2	AKT1	0.7464724384707168	HCC44	cutting_control	spearman	mean
ARID1B-1	ARID1B	0.4463846442206612	HCC44	cutting_control	spearman	mean
ARID1B-2	ARID1B	0.31349024199794395	HCC44	cutting_control	spearman	mean
ATF4-1	ATF4	0.17273616769523722	HCC44	cutting_control	spearman	mean
ATF4-2	ATF4	0.4716193971742949	HCC44	cutting_control	spearman	mean
ATP50-1	ATP50	0.9378673389815848	HCC44	cutting_control	spearman	mean
ATP50-2	ATP50	0.5984026551946717	HCC44	cutting_control	spearman	mean
AURKB-2	AURKB		HCC44	cutting_control	spearman	mean
BCL2-1	BCL2	0.6045902046552053	HCC44	cutting_control	spearman	mean
BCL2-2	BCL2	0.6883965605237392	HCC44	cutting_control	spearman	mean
BCL2L2-1	BCL2L2	-0.24887448298333098	HCC44	cutting_control	spearman	mean
BCL2L2-2	BCL2L2	0.13855186654304963	HCC44	cutting_control	spearman	mean
BCL2L2-4	BCL2L2	0.21989263302097328	HCC44	cutting_control	spearman	mean
BRAF-2	BRAF		HCC44	cutting_control	spearman	mean
BRAF1-1	BRAF1		HCC44	cutting_control	spearman	mean
BRCA1-1	BRCA1	0.5723720139731118	HCC44	cutting_control	spearman	mean
BRCA1-2	BRCA1	0.5721883583847632	HCC44	cutting_control	spearman	mean
BRD4-1	BRD4	2.7191032153028996	HCC44	cutting_control	spearman	mean
BRD4-2	BRD4	1.6878412249377837	HCC44	cutting_control	spearman	mean
CCND1-1	CCND1	0.637880110687651	HCC44	cutting_control	spearman	mean
CCND1-2	CCND1	0.25448962625290733	HCC44	cutting_control	spearman	mean
CCNE1-1	CCNE1	1.6357456021912107	HCC44	cutting_control	spearman	mean
CCNE1-2	CCNE1	1.3401077145035496	HCC44	cutting_control	spearman	mean
CDK2-1	CDK2	2.0919980264596343	HCC44	cutting_control	spearman	mean
CDK2-2	CDK2	1.8810295950728713	HCC44	cutting_control	spearman	mean
CDK4-1	CDK4	0.6035414627028823	HCC44	cutting_control	spearman	mean
CDK4-2	CDK4	0.6400611750281152	HCC44	cutting_control	spearman	mean
CDK4-3	CDK4	0.30789432771060243	HCC44	cutting_control	spearman	mean
CHEK2-1	CHEK2	0.4152492956977237	HCC44	cutting_control	spearman	mean
CHEK2-2	CHEK2	0.3056743354867484	HCC44	cutting_control	spearman	mean
COX5B-1	COX5B	0.4970025976108529	HCC44	cutting_control	spearman	mean
COX5B-2	COX5B	0.0893368806600218	HCC44	cutting_control	spearman	mean
CSNK1A1-1	CSNK1A1	2.1406334759319705	HCC44	cutting_control	spearman	mean
CSNK1A1-2	CSNK1A1	1.7281937932778173	HCC44	cutting_control	spearman	mean
CTNNB1-1	CTNNB1	-0.3137572876839644	HCC44	cutting_control	spearman	mean
CTNNB1-2	CTNNB1	0.018515119957793334	HCC44	cutting_control	spearman	mean
Chr2-1	Chr2	0.14599237878346935	HCC44	cutting_control	spearman	mean
Chr2-2	Chr2	0.13350593394626284	HCC44	cutting_control	spearman	mean
Chr2-3	Chr2	0.1330673795096951	HCC44	cutting_control	spearman	mean
Chr2-4	Chr2	0.03413337171005839	HCC44	cutting_control	spearman	mean
Chr2-5	Chr2	0.1716305606793078	HCC44	cutting_control	spearman	mean
Chr2-6	Chr2	0.17320309938466627	HCC44	cutting_control	spearman	mean
DOT1L-1	DOT1L	1.1177770532623716	HCC44	cutting_control	spearman	mean
DOT1L-2	DOT1L	1.4144723530746284	HCC44	cutting_control	spearman	mean
EGFR-1	EGFR	0.494999365266436	HCC44	cutting_control	spearman	mean
EGFR-2	EGFR	0.0748940541010276	HCC44	cutting_control	spearman	mean
EGLN1-8	EGLN1	1.4710725847597472	HCC44	cutting_control	spearman	mean
EGLN1-9	EGLN1	1.2236857475666767	HCC44	cutting_control	spearman	mean
EMPTY	EMPTY		HCC44	cutting_control	spearman	mean
ERBB2-1	ERBB2	0.31068802713616256	HCC44	cutting_control	spearman	mean
ERBB2-2	ERBB2	-0.09949997046114056	HCC44	cutting_control	spearman	mean
ERBB3-1	ERBB3	0.36915981053422287	HCC44	cutting_control	spearman	mean
ERBB3-2	ERBB3	0.4162638319241667	HCC44	cutting_control	spearman	mean
EZH2-1	EZH2	1.0869669791248686	HCC44	cutting_control	spearman	mean
EZH2-2	EZH2	0.6777866413276128	HCC44	cutting_control	spearman	mean
GLS-1	GLS	0.827040317923234	HCC44	cutting_control	spearman	mean
GLS-2	GLS	0.29873510266958897	HCC44	cutting_control	spearman	mean
GPX4-1	GPX4	1.3295218064979477	HCC44	cutting_control	spearman	mean
GPX4-2	GPX4	1.151061984941297	HCC44	cutting_control	spearman	mean
HIF1a-1	HIF1a	0.7640913706490982	HCC44	cutting_control	spearman	mean
HIF1a-2	HIF1a	0.743472148988178	HCC44	cutting_control	spearman	mean
ITGAV-1	ITGAV	3.633395513788893	HCC44	cutting_control	spearman	mean
ITGAV-2	ITGAV	3.79557726589821	HCC44	cutting_control	spearman	mean
JAK3-1	JAK3	0.5450118371731186	HCC44	cutting_control	spearman	mean
JAK3-2	JAK3	0.45227844307727527	HCC44	cutting_control	spearman	mean
KIF11-1	KIF11	2.243515760967725	HCC44	cutting_control	spearman	mean
KIF11-2	KIF11	1.9175186664668995	HCC44	cutting_control	spearman	mean
KRAS-1	KRAS	1.3646533834788857	HCC44	cutting_control	spearman	mean
KRAS-2A	KRAS	1.1294608703980424	HCC44	cutting_control	spearman	mean
KRAS-2B	KRAS	0.7806483419820758	HCC44	cutting_control	spearman	mean
LacZ-2	LacZ	0.3015768852424618	HCC44	cutting_control	spearman	mean
LacZ-3	LacZ	0.40942684557238507	HCC44	cutting_control	spearman	mean
Luc-1	Luc	0.6050193682921681	HCC44	cutting_control	spearman	mean
Luc-2	Luc	0.6233382891642196	HCC44	cutting_control	spearman	mean
MAPK1-1	MAPK1	0.9002845755743394	HCC44	cutting_control	spearman	mean
MAPK1-2	MAPK1	0.8845504369468363	HCC44	cutting_control	spearman	mean
MCL1-2	MCL1	0.14820884204109938	HCC44	cutting_control	spearman	mean
MCL1-5	MCL1	0.49426310383457384	HCC44	cutting_control	spearman	mean
MTOR-1	MTOR	1.143105314297597	HCC44	cutting_control	spearman	mean
MTOR-2	MTOR	1.307436716828023	HCC44	cutting_control	spearman	mean
MYC-1	MYC	2.356168602738497	HCC44	cutting_control	spearman	mean
MYC-2	MYC	2.333998911678649	HCC44	cutting_control	spearman	mean
ORC4-1	ORC4	0.10605041058263577	HCC44	cutting_control	spearman	mean
ORC4-2	ORC4	-0.15227858557446458	HCC44	cutting_control	spearman	mean
PIK3CA-1	PIK3CA	0.32077957914313837	HCC44	cutting_control	spearman	mean
PIK3CA-2	PIK3CA	0.8216346996024613	HCC44	cutting_control	spearman	mean
POLR2D-1	POLR2D	2.385222924684178	HCC44	cutting_control	spearman	mean
POLR2D-2	POLR2D	2.238761078017612	HCC44	cutting_control	spearman	mean
PPIB-1	PPIB	0.01443487364909911	HCC44	cutting_control	spearman	mean
PPIB-2	PPIB	-0.1738553343903099	HCC44	cutting_control	spearman	mean
PRDX1-1	PRDX1	0.4122467345371707	HCC44	cutting_control	spearman	mean
PRDX1-2	PRDX1	-0.1519096515324826	HCC44	cutting_control	spearman	mean
PSMA1-1	PSMA1	1.860330761175216	HCC44	cutting_control	spearman	mean
PSMA1-2	PSMA1	1.9840732700596995	HCC44	cutting_control	spearman	mean
PTK2-1	PTK2	1.9181530961659914	HCC44	cutting_control	spearman	mean
PTK2-2	PTK2	2.073157197081028	HCC44	cutting_control	spearman	mean
RAC1-1	RAC1	0.9138677177237433	HCC44	cutting_control	spearman	mean
RAC1-2	RAC1	0.786944592327623	HCC44	cutting_control	spearman	mean
RAF1-1	RAF1	0.5196800781202584	HCC44	cutting_control	spearman	mean
RAF1-2	RAF1	0.7267111245691106	HCC44	cutting_control	spearman	mean
RHOA-1	RHOA	2.943033919502344	HCC44	cutting_control	spearman	mean
RHOA-2	RHOA	2.929917687709608	HCC44	cutting_control	spearman	mean
SDHB-1	SDHB	1.0622488491138908	HCC44	cutting_control	spearman	mean
SDHB-2	SDHB	0.9413162409338527	HCC44	cutting_control	spearman	mean
SLC2A1-1	SLC2A1		HCC44	cutting_control	spearman	mean
SLC2A2-2	SLC2A2		HCC44	cutting_control	spearman	mean
SMARCB1-1	SMARCB1	0.5580965424178683	HCC44	cutting_control	spearman	mean
SMARCB1-2	SMARCB1	0.7368764796151239	HCC44	cutting_control	spearman	mean
STAT3-1	STAT3	0.6365674027719366	HCC44	cutting_control	spearman	mean
STAT3-2	STAT3	0.354478899881773	HCC44	cutting_control	spearman	mean
SUZ12-1	SUZ12	1.4632670790203046	HCC44	cutting_control	spearman	mean
SUZ12-2	SUZ12	1.2153673579616038	HCC44	cutting_control	spearman	mean
TXN-1	TXN	0.4374665484368236	HCC44	cutting_control	spearman	mean
TXN-2	TXN	0.48512578559954694	HCC44	cutting_control	spearman	mean
XBP-1	XBP	0.7644274754641183	HCC44	cutting_control	spearman	mean
XBP-2	XBP	0.8584243173819301	HCC44	cutting_control	spearman	mean
YAP1-1	YAP1	0.4670963716734253	HCC44	cutting_control	spearman	mean
YAP1-2	YAP1	0.3790986278625224	HCC44	cutting_control	spearman	mean
