Metadata_pert_name	mp_value	cell_line	barcode_control	num_permutations
Chr2-3	0.0	HCC44	cutting_control	10
Chr2-4	0.6	HCC44	cutting_control	10
Chr2-5	1.0	HCC44	cutting_control	10
Chr2-6	0.4	HCC44	cutting_control	10
DOT1L-1	0.2	HCC44	cutting_control	10
DOT1L-2	0.0	HCC44	cutting_control	10
EGFR-1	0.3	HCC44	cutting_control	10
EGFR-2	0.0	HCC44	cutting_control	10
EGLN1-8	0.0	HCC44	cutting_control	10
EGLN1-9	0.0	HCC44	cutting_control	10
EMPTY	0.0	HCC44	cutting_control	10
ERBB2-1	0.2	HCC44	cutting_control	10
ERBB2-2	0.0	HCC44	cutting_control	10
ERBB3-1	0.0	HCC44	cutting_control	10
ERBB3-2	0.6	HCC44	cutting_control	10
EZH2-1	0.0	HCC44	cutting_control	10
EZH2-2	0.0	HCC44	cutting_control	10
GLS-1	0.1	HCC44	cutting_control	10
GLS-2	0.0	HCC44	cutting_control	10
GPX4-1	0.0	HCC44	cutting_control	10
GPX4-2	0.3	HCC44	cutting_control	10
HIF1a-1	0.1	HCC44	cutting_control	10
HIF1a-2	0.2	HCC44	cutting_control	10
ITGAV-1	0.0	HCC44	cutting_control	10
ITGAV-2	0.0	HCC44	cutting_control	10
JAK3-1	0.0	HCC44	cutting_control	10
JAK3-2	0.0	HCC44	cutting_control	10
KIF11-1	0.0	HCC44	cutting_control	10
KIF11-2	0.0	HCC44	cutting_control	10
KRAS-1	0.0	HCC44	cutting_control	10
KRAS-2A	0.0	HCC44	cutting_control	10
KRAS-2B	0.0	HCC44	cutting_control	10
LacZ-2	0.2	HCC44	cutting_control	10
LacZ-3	0.2	HCC44	cutting_control	10
Luc-1	0.1	HCC44	cutting_control	10
Luc-2	0.0	HCC44	cutting_control	10
MAPK1-1	0.0	HCC44	cutting_control	10
MAPK1-2	0.0	HCC44	cutting_control	10
MCL1-2	0.0	HCC44	cutting_control	10
MCL1-5	0.0	HCC44	cutting_control	10
MTOR-1	0.0	HCC44	cutting_control	10
MTOR-2	0.0	HCC44	cutting_control	10
MYC-1	0.0	HCC44	cutting_control	10
MYC-2	0.0	HCC44	cutting_control	10
ORC4-1	0.0	HCC44	cutting_control	10
ORC4-2	0.5	HCC44	cutting_control	10
PIK3CA-1	0.1	HCC44	cutting_control	10
PIK3CA-2	0.1	HCC44	cutting_control	10
POLR2D-1	0.0	HCC44	cutting_control	10
POLR2D-2	0.0	HCC44	cutting_control	10
PPIB-1	0.1	HCC44	cutting_control	10
PPIB-2	0.0	HCC44	cutting_control	10
PRDX1-1	0.1	HCC44	cutting_control	10
PRDX1-2	0.6	HCC44	cutting_control	10
PSMA1-1	0.0	HCC44	cutting_control	10
PSMA1-2	0.0	HCC44	cutting_control	10
PTK2-1	0.0	HCC44	cutting_control	10
PTK2-2	0.0	HCC44	cutting_control	10
RAC1-1	0.0	HCC44	cutting_control	10
RAC1-2	0.8	HCC44	cutting_control	10
RAF1-1	0.3	HCC44	cutting_control	10
RAF1-2	0.0	HCC44	cutting_control	10
RHOA-1	0.0	HCC44	cutting_control	10
RHOA-2	0.0	HCC44	cutting_control	10
SDHB-1	0.0	HCC44	cutting_control	10
SDHB-2	0.0	HCC44	cutting_control	10
SLC2A1-1	0.0	HCC44	cutting_control	10
SLC2A2-2	0.0	HCC44	cutting_control	10
SMARCB1-1	0.0	HCC44	cutting_control	10
SMARCB1-2	0.0	HCC44	cutting_control	10
STAT3-1	0.1	HCC44	cutting_control	10
STAT3-2	0.0	HCC44	cutting_control	10
SUZ12-1	0.0	HCC44	cutting_control	10
SUZ12-2	0.0	HCC44	cutting_control	10
TXN-1	0.3	HCC44	cutting_control	10
TXN-2	0.2	HCC44	cutting_control	10
XBP-1	0.1	HCC44	cutting_control	10
XBP-2	0.1	HCC44	cutting_control	10
YAP1-1	0.0	HCC44	cutting_control	10
YAP1-2	0.1	HCC44	cutting_control	10
AKT1-1	0.19	HCC44	cutting_control	100
AKT1-2	0.09	HCC44	cutting_control	100
ARID1B-1	0.16	HCC44	cutting_control	100
ARID1B-2	0.13	HCC44	cutting_control	100
ATF4-1	0.01	HCC44	cutting_control	100
ATF4-2	0.14	HCC44	cutting_control	100
ATP50-1	0.0	HCC44	cutting_control	100
ATP50-2	0.02	HCC44	cutting_control	100
AURKB-2	0.02	HCC44	cutting_control	100
BCL2-1	0.24	HCC44	cutting_control	100
BCL2-2	0.07	HCC44	cutting_control	100
BCL2L2-1	0.0	HCC44	cutting_control	100
BCL2L2-2	0.92	HCC44	cutting_control	100
BCL2L2-4	0.03	HCC44	cutting_control	100
BRAF-2	0.01	HCC44	cutting_control	100
BRAF1-1	0.1	HCC44	cutting_control	100
BRCA1-1	0.0	HCC44	cutting_control	100
BRCA1-2	0.0	HCC44	cutting_control	100
BRD4-1	0.0	HCC44	cutting_control	100
BRD4-2	0.0	HCC44	cutting_control	100
CCND1-1	0.18	HCC44	cutting_control	100
CCND1-2	0.01	HCC44	cutting_control	100
CCNE1-1	0.0	HCC44	cutting_control	100
CCNE1-2	0.0	HCC44	cutting_control	100
CDK2-1	0.0	HCC44	cutting_control	100
CDK2-2	0.0	HCC44	cutting_control	100
CDK4-1	0.03	HCC44	cutting_control	100
CDK4-2	0.11	HCC44	cutting_control	100
CDK4-3	0.11	HCC44	cutting_control	100
CHEK2-1	0.01	HCC44	cutting_control	100
CHEK2-2	0.18	HCC44	cutting_control	100
COX5B-1	0.11	HCC44	cutting_control	100
COX5B-2	0.01	HCC44	cutting_control	100
CSNK1A1-1	0.0	HCC44	cutting_control	100
CSNK1A1-2	0.0	HCC44	cutting_control	100
CTNNB1-1	0.0	HCC44	cutting_control	100
CTNNB1-2	0.08	HCC44	cutting_control	100
Chr2-1	0.12	HCC44	cutting_control	100
Chr2-2	0.69	HCC44	cutting_control	100
Chr2-3	0.09	HCC44	cutting_control	100
Chr2-4	0.61	HCC44	cutting_control	100
Chr2-5	0.77	HCC44	cutting_control	100
Chr2-6	0.3	HCC44	cutting_control	100
DOT1L-1	0.07	HCC44	cutting_control	100
DOT1L-2	0.0	HCC44	cutting_control	100
EGFR-1	0.21	HCC44	cutting_control	100
EGFR-2	0.01	HCC44	cutting_control	100
EGLN1-8	0.0	HCC44	cutting_control	100
EGLN1-9	0.0	HCC44	cutting_control	100
EMPTY	0.0	HCC44	cutting_control	100
ERBB2-1	0.17	HCC44	cutting_control	100
ERBB2-2	0.01	HCC44	cutting_control	100
ERBB3-1	0.14	HCC44	cutting_control	100
ERBB3-2	0.46	HCC44	cutting_control	100
EZH2-1	0.0	HCC44	cutting_control	100
EZH2-2	0.03	HCC44	cutting_control	100
GLS-1	0.11	HCC44	cutting_control	100
GLS-2	0.06	HCC44	cutting_control	100
GPX4-1	0.27	HCC44	cutting_control	100
GPX4-2	0.28	HCC44	cutting_control	100
HIF1a-1	0.03	HCC44	cutting_control	100
HIF1a-2	0.16	HCC44	cutting_control	100
ITGAV-1	0.0	HCC44	cutting_control	100
ITGAV-2	0.0	HCC44	cutting_control	100
JAK3-1	0.0	HCC44	cutting_control	100
JAK3-2	0.02	HCC44	cutting_control	100
KIF11-1	0.0	HCC44	cutting_control	100
KIF11-2	0.0	HCC44	cutting_control	100
KRAS-1	0.0	HCC44	cutting_control	100
KRAS-2A	0.0	HCC44	cutting_control	100
KRAS-2B	0.01	HCC44	cutting_control	100
LacZ-2	0.23	HCC44	cutting_control	100
LacZ-3	0.12	HCC44	cutting_control	100
Luc-1	0.14	HCC44	cutting_control	100
Luc-2	0.03	HCC44	cutting_control	100
MAPK1-1	0.01	HCC44	cutting_control	100
MAPK1-2	0.0	HCC44	cutting_control	100
MCL1-2	0.02	HCC44	cutting_control	100
MCL1-5	0.08	HCC44	cutting_control	100
MTOR-1	0.0	HCC44	cutting_control	100
MTOR-2	0.0	HCC44	cutting_control	100
MYC-1	0.0	HCC44	cutting_control	100
MYC-2	0.0	HCC44	cutting_control	100
ORC4-1	0.0	HCC44	cutting_control	100
ORC4-2	0.63	HCC44	cutting_control	100
PIK3CA-1	0.01	HCC44	cutting_control	100
PIK3CA-2	0.0	HCC44	cutting_control	100
POLR2D-1	0.0	HCC44	cutting_control	100
POLR2D-2	0.0	HCC44	cutting_control	100
PPIB-1	0.02	HCC44	cutting_control	100
PPIB-2	0.0	HCC44	cutting_control	100
PRDX1-1	0.15	HCC44	cutting_control	100
PRDX1-2	0.44	HCC44	cutting_control	100
PSMA1-1	0.0	HCC44	cutting_control	100
PSMA1-2	0.0	HCC44	cutting_control	100
PTK2-1	0.0	HCC44	cutting_control	100
PTK2-2	0.0	HCC44	cutting_control	100
RAC1-1	0.01	HCC44	cutting_control	100
RAC1-2	0.35	HCC44	cutting_control	100
RAF1-1	0.32	HCC44	cutting_control	100
RAF1-2	0.16	HCC44	cutting_control	100
RHOA-1	0.0	HCC44	cutting_control	100
RHOA-2	0.0	HCC44	cutting_control	100
SDHB-1	0.0	HCC44	cutting_control	100
SDHB-2	0.0	HCC44	cutting_control	100
SLC2A1-1	0.0	HCC44	cutting_control	100
SLC2A2-2	0.0	HCC44	cutting_control	100
SMARCB1-1	0.0	HCC44	cutting_control	100
SMARCB1-2	0.0	HCC44	cutting_control	100
STAT3-1	0.13	HCC44	cutting_control	100
STAT3-2	0.0	HCC44	cutting_control	100
SUZ12-1	0.02	HCC44	cutting_control	100
SUZ12-2	0.02	HCC44	cutting_control	100
TXN-1	0.17	HCC44	cutting_control	100
TXN-2	0.43	HCC44	cutting_control	100
XBP-1	0.04	HCC44	cutting_control	100
XBP-2	0.04	HCC44	cutting_control	100
YAP1-1	0.03	HCC44	cutting_control	100
YAP1-2	0.04	HCC44	cutting_control	100
AKT1-1	0.173	HCC44	cutting_control	1000
AKT1-2	0.141	HCC44	cutting_control	1000
ARID1B-1	0.141	HCC44	cutting_control	1000
ARID1B-2	0.16	HCC44	cutting_control	1000
ATF4-1	0.001	HCC44	cutting_control	1000
ATF4-2	0.125	HCC44	cutting_control	1000
ATP50-1	0.009	HCC44	cutting_control	1000
ATP50-2	0.007	HCC44	cutting_control	1000
AURKB-2	0.015	HCC44	cutting_control	1000
BCL2-1	0.284	HCC44	cutting_control	1000
BCL2-2	0.095	HCC44	cutting_control	1000
BCL2L2-1	0.008	HCC44	cutting_control	1000
BCL2L2-2	0.959	HCC44	cutting_control	1000
BCL2L2-4	0.012	HCC44	cutting_control	1000
BRAF-2	0.022	HCC44	cutting_control	1000
BRAF1-1	0.081	HCC44	cutting_control	1000
BRCA1-1	0.01	HCC44	cutting_control	1000
BRCA1-2	0.003	HCC44	cutting_control	1000
BRD4-1	0.0	HCC44	cutting_control	1000
BRD4-2	0.0	HCC44	cutting_control	1000
CCND1-1	0.192	HCC44	cutting_control	1000
CCND1-2	0.005	HCC44	cutting_control	1000
CCNE1-1	0.0	HCC44	cutting_control	1000
CCNE1-2	0.007	HCC44	cutting_control	1000
CDK2-1	0.0	HCC44	cutting_control	1000
CDK2-2	0.0	HCC44	cutting_control	1000
CDK4-1	0.012	HCC44	cutting_control	1000
CDK4-2	0.091	HCC44	cutting_control	1000
CDK4-3	0.084	HCC44	cutting_control	1000
CHEK2-1	0.024	HCC44	cutting_control	1000
CHEK2-2	0.169	HCC44	cutting_control	1000
COX5B-1	0.097	HCC44	cutting_control	1000
COX5B-2	0.0	HCC44	cutting_control	1000
CSNK1A1-1	0.0	HCC44	cutting_control	1000
CSNK1A1-2	0.0	HCC44	cutting_control	1000
CTNNB1-1	0.007	HCC44	cutting_control	1000
CTNNB1-2	0.109	HCC44	cutting_control	1000
Chr2-1	0.12	HCC44	cutting_control	1000
Chr2-2	0.678	HCC44	cutting_control	1000
Chr2-3	0.084	HCC44	cutting_control	1000
Chr2-4	0.516	HCC44	cutting_control	1000
Chr2-5	0.776	HCC44	cutting_control	1000
Chr2-6	0.366	HCC44	cutting_control	1000
DOT1L-1	0.064	HCC44	cutting_control	1000
DOT1L-2	0.009	HCC44	cutting_control	1000
EGFR-1	0.196	HCC44	cutting_control	1000
EGFR-2	0.025	HCC44	cutting_control	1000
EGLN1-8	0.0	HCC44	cutting_control	1000
EGLN1-9	0.0	HCC44	cutting_control	1000
EMPTY	0.0	HCC44	cutting_control	1000
ERBB2-1	0.129	HCC44	cutting_control	1000
ERBB2-2	0.009	HCC44	cutting_control	1000
ERBB3-1	0.07	HCC44	cutting_control	1000
ERBB3-2	0.485	HCC44	cutting_control	1000
EZH2-1	0.006	HCC44	cutting_control	1000
EZH2-2	0.018	HCC44	cutting_control	1000
GLS-1	0.096	HCC44	cutting_control	1000
GLS-2	0.051	HCC44	cutting_control	1000
GPX4-1	0.235	HCC44	cutting_control	1000
GPX4-2	0.322	HCC44	cutting_control	1000
HIF1a-1	0.033	HCC44	cutting_control	1000
HIF1a-2	0.135	HCC44	cutting_control	1000
ITGAV-1	0.0	HCC44	cutting_control	1000
ITGAV-2	0.0	HCC44	cutting_control	1000
JAK3-1	0.008	HCC44	cutting_control	1000
JAK3-2	0.008	HCC44	cutting_control	1000
KIF11-1	0.0	HCC44	cutting_control	1000
KIF11-2	0.0	HCC44	cutting_control	1000
KRAS-1	0.0	HCC44	cutting_control	1000
KRAS-2A	0.0	HCC44	cutting_control	1000
KRAS-2B	0.048	HCC44	cutting_control	1000
LacZ-2	0.228	HCC44	cutting_control	1000
LacZ-3	0.112	HCC44	cutting_control	1000
Luc-1	0.198	HCC44	cutting_control	1000
Luc-2	0.019	HCC44	cutting_control	1000
MAPK1-1	0.006	HCC44	cutting_control	1000
MAPK1-2	0.011	HCC44	cutting_control	1000
MCL1-2	0.018	HCC44	cutting_control	1000
MCL1-5	0.05	HCC44	cutting_control	1000
MTOR-1	0.002	HCC44	cutting_control	1000
MTOR-2	0.0	HCC44	cutting_control	1000
MYC-1	0.0	HCC44	cutting_control	1000
MYC-2	0.0	HCC44	cutting_control	1000
ORC4-1	0.01	HCC44	cutting_control	1000
ORC4-2	0.686	HCC44	cutting_control	1000
PIK3CA-1	0.022	HCC44	cutting_control	1000
PIK3CA-2	0.008	HCC44	cutting_control	1000
POLR2D-1	0.0	HCC44	cutting_control	1000
POLR2D-2	0.0	HCC44	cutting_control	1000
PPIB-1	0.028	HCC44	cutting_control	1000
PPIB-2	0.0	HCC44	cutting_control	1000
PRDX1-1	0.17	HCC44	cutting_control	1000
PRDX1-2	0.419	HCC44	cutting_control	1000
PSMA1-1	0.0	HCC44	cutting_control	1000
PSMA1-2	0.0	HCC44	cutting_control	1000
PTK2-1	0.0	HCC44	cutting_control	1000
PTK2-2	0.0	HCC44	cutting_control	1000
RAC1-1	0.028	HCC44	cutting_control	1000
RAC1-2	0.4	HCC44	cutting_control	1000
RAF1-1	0.328	HCC44	cutting_control	1000
RAF1-2	0.203	HCC44	cutting_control	1000
RHOA-1	0.0	HCC44	cutting_control	1000
RHOA-2	0.001	HCC44	cutting_control	1000
SDHB-1	0.005	HCC44	cutting_control	1000
SDHB-2	0.0	HCC44	cutting_control	1000
SLC2A1-1	0.0	HCC44	cutting_control	1000
SLC2A2-2	0.002	HCC44	cutting_control	1000
SMARCB1-1	0.001	HCC44	cutting_control	1000
SMARCB1-2	0.001	HCC44	cutting_control	1000
STAT3-1	0.157	HCC44	cutting_control	1000
STAT3-2	0.008	HCC44	cutting_control	1000
SUZ12-1	0.03	HCC44	cutting_control	1000
SUZ12-2	0.001	HCC44	cutting_control	1000
TXN-1	0.161	HCC44	cutting_control	1000
TXN-2	0.372	HCC44	cutting_control	1000
XBP-1	0.038	HCC44	cutting_control	1000
XBP-2	0.023	HCC44	cutting_control	1000
YAP1-1	0.024	HCC44	cutting_control	1000
YAP1-2	0.05	HCC44	cutting_control	1000
AKT1-1	0.1728	HCC44	cutting_control	5000
AKT1-2	0.1394	HCC44	cutting_control	5000
ARID1B-1	0.129	HCC44	cutting_control	5000
ARID1B-2	0.1722	HCC44	cutting_control	5000
ATF4-1	0.0012	HCC44	cutting_control	5000
ATF4-2	0.1266	HCC44	cutting_control	5000
ATP50-1	0.0104	HCC44	cutting_control	5000
ATP50-2	0.0054	HCC44	cutting_control	5000
AURKB-2	0.0164	HCC44	cutting_control	5000
BCL2-1	0.2984	HCC44	cutting_control	5000
BCL2-2	0.0948	HCC44	cutting_control	5000
BCL2L2-1	0.0084	HCC44	cutting_control	5000
BCL2L2-2	0.9612	HCC44	cutting_control	5000
BCL2L2-4	0.0126	HCC44	cutting_control	5000
BRAF-2	0.0218	HCC44	cutting_control	5000
BRAF1-1	0.0852	HCC44	cutting_control	5000
BRCA1-1	0.0052	HCC44	cutting_control	5000
BRCA1-2	0.0024	HCC44	cutting_control	5000
BRD4-1	0.0	HCC44	cutting_control	5000
BRD4-2	0.0	HCC44	cutting_control	5000
CCND1-1	0.1858	HCC44	cutting_control	5000
CCND1-2	0.0062	HCC44	cutting_control	5000
CCNE1-1	0.0	HCC44	cutting_control	5000
CCNE1-2	0.0074	HCC44	cutting_control	5000
CDK2-1	0.0	HCC44	cutting_control	5000
CDK2-2	0.0	HCC44	cutting_control	5000
CDK4-1	0.0138	HCC44	cutting_control	5000
CDK4-2	0.0732	HCC44	cutting_control	5000
CDK4-3	0.0864	HCC44	cutting_control	5000
CHEK2-1	0.033	HCC44	cutting_control	5000
CHEK2-2	0.1666	HCC44	cutting_control	5000
COX5B-1	0.1114	HCC44	cutting_control	5000
COX5B-2	0.0008	HCC44	cutting_control	5000
CSNK1A1-1	0.0	HCC44	cutting_control	5000
CSNK1A1-2	0.0	HCC44	cutting_control	5000
CTNNB1-1	0.0046	HCC44	cutting_control	5000
CTNNB1-2	0.1252	HCC44	cutting_control	5000
Chr2-1	0.122	HCC44	cutting_control	5000
Chr2-2	0.6828	HCC44	cutting_control	5000
Chr2-3	0.084	HCC44	cutting_control	5000
Chr2-4	0.545	HCC44	cutting_control	5000
Chr2-5	0.7594	HCC44	cutting_control	5000
Chr2-6	0.3582	HCC44	cutting_control	5000
DOT1L-1	0.0642	HCC44	cutting_control	5000
DOT1L-2	0.0054	HCC44	cutting_control	5000
EGFR-1	0.1886	HCC44	cutting_control	5000
EGFR-2	0.0266	HCC44	cutting_control	5000
EGLN1-8	0.0006	HCC44	cutting_control	5000
EGLN1-9	0.0	HCC44	cutting_control	5000
EMPTY	0.0002	HCC44	cutting_control	5000
ERBB2-1	0.1366	HCC44	cutting_control	5000
ERBB2-2	0.0132	HCC44	cutting_control	5000
ERBB3-1	0.0598	HCC44	cutting_control	5000
ERBB3-2	0.4688	HCC44	cutting_control	5000
EZH2-1	0.0052	HCC44	cutting_control	5000
EZH2-2	0.0228	HCC44	cutting_control	5000
GLS-1	0.1132	HCC44	cutting_control	5000
GLS-2	0.0494	HCC44	cutting_control	5000
GPX4-1	0.2322	HCC44	cutting_control	5000
GPX4-2	0.316	HCC44	cutting_control	5000
HIF1a-1	0.0336	HCC44	cutting_control	5000
HIF1a-2	0.1416	HCC44	cutting_control	5000
ITGAV-1	0.0	HCC44	cutting_control	5000
ITGAV-2	0.0	HCC44	cutting_control	5000
JAK3-1	0.0082	HCC44	cutting_control	5000
JAK3-2	0.0056	HCC44	cutting_control	5000
KIF11-1	0.0	HCC44	cutting_control	5000
KIF11-2	0.0	HCC44	cutting_control	5000
KRAS-1	0.0002	HCC44	cutting_control	5000
KRAS-2A	0.0	HCC44	cutting_control	5000
KRAS-2B	0.0454	HCC44	cutting_control	5000
LacZ-2	0.2344	HCC44	cutting_control	5000
LacZ-3	0.1376	HCC44	cutting_control	5000
Luc-1	0.178	HCC44	cutting_control	5000
Luc-2	0.0198	HCC44	cutting_control	5000
MAPK1-1	0.011	HCC44	cutting_control	5000
MAPK1-2	0.0076	HCC44	cutting_control	5000
MCL1-2	0.0194	HCC44	cutting_control	5000
MCL1-5	0.0466	HCC44	cutting_control	5000
MTOR-1	0.0032	HCC44	cutting_control	5000
MTOR-2	0.0006	HCC44	cutting_control	5000
MYC-1	0.0	HCC44	cutting_control	5000
MYC-2	0.0	HCC44	cutting_control	5000
ORC4-1	0.0094	HCC44	cutting_control	5000
ORC4-2	0.6552	HCC44	cutting_control	5000
PIK3CA-1	0.0148	HCC44	cutting_control	5000
PIK3CA-2	0.0086	HCC44	cutting_control	5000
POLR2D-1	0.0	HCC44	cutting_control	5000
POLR2D-2	0.0	HCC44	cutting_control	5000
PPIB-1	0.024	HCC44	cutting_control	5000
PPIB-2	0.0002	HCC44	cutting_control	5000
PRDX1-1	0.154	HCC44	cutting_control	5000
PRDX1-2	0.4632	HCC44	cutting_control	5000
PSMA1-1	0.0	HCC44	cutting_control	5000
PSMA1-2	0.0	HCC44	cutting_control	5000
PTK2-1	0.0002	HCC44	cutting_control	5000
PTK2-2	0.0	HCC44	cutting_control	5000
RAC1-1	0.0248	HCC44	cutting_control	5000
RAC1-2	0.4058	HCC44	cutting_control	5000
RAF1-1	0.306	HCC44	cutting_control	5000
RAF1-2	0.1848	HCC44	cutting_control	5000
RHOA-1	0.0002	HCC44	cutting_control	5000
RHOA-2	0.0	HCC44	cutting_control	5000
SDHB-1	0.005	HCC44	cutting_control	5000
SDHB-2	0.0	HCC44	cutting_control	5000
SLC2A1-1	0.0002	HCC44	cutting_control	5000
SLC2A2-2	0.0022	HCC44	cutting_control	5000
SMARCB1-1	0.0	HCC44	cutting_control	5000
SMARCB1-2	0.0012	HCC44	cutting_control	5000
STAT3-1	0.1486	HCC44	cutting_control	5000
STAT3-2	0.0108	HCC44	cutting_control	5000
SUZ12-1	0.031	HCC44	cutting_control	5000
SUZ12-2	0.0014	HCC44	cutting_control	5000
TXN-1	0.1706	HCC44	cutting_control	5000
TXN-2	0.3674	HCC44	cutting_control	5000
XBP-1	0.031	HCC44	cutting_control	5000
XBP-2	0.0172	HCC44	cutting_control	5000
YAP1-1	0.032	HCC44	cutting_control	5000
YAP1-2	0.051	HCC44	cutting_control	5000
AKT1-1	0.1	A549	cutting_control	10
AKT1-2	0.1	A549	cutting_control	10
ARID1B-1	0.1	A549	cutting_control	10
ARID1B-2	0.2	A549	cutting_control	10
ATF4-1	0.0	A549	cutting_control	10
ATF4-2	0.0	A549	cutting_control	10
ATP50-1	0.3	A549	cutting_control	10
ATP50-2	0.2	A549	cutting_control	10
AURKB-2	0.6	A549	cutting_control	10
BCL2-1	0.4	A549	cutting_control	10
BCL2-2	0.0	A549	cutting_control	10
BCL2L2-1	0.4	A549	cutting_control	10
BCL2L2-2	0.3	A549	cutting_control	10
BCL2L2-4	0.1	A549	cutting_control	10
BRAF-2	0.1	A549	cutting_control	10
BRAF1-1	0.4	A549	cutting_control	10
BRCA1-1	0.1	A549	cutting_control	10
BRCA1-2	0.1	A549	cutting_control	10
BRD4-1	0.0	A549	cutting_control	10
BRD4-2	0.0	A549	cutting_control	10
CCND1-1	0.0	A549	cutting_control	10
CCND1-2	0.0	A549	cutting_control	10
CCNE1-1	0.0	A549	cutting_control	10
CCNE1-2	0.0	A549	cutting_control	10
CDK2-1	0.1	A549	cutting_control	10
CDK2-2	0.0	A549	cutting_control	10
CDK4-1	0.0	A549	cutting_control	10
CDK4-2	0.0	A549	cutting_control	10
CDK4-3	0.0	A549	cutting_control	10
CHEK2-1	0.1	A549	cutting_control	10
CHEK2-2	0.2	A549	cutting_control	10
COX5B-1	0.3	A549	cutting_control	10
COX5B-2	0.0	A549	cutting_control	10
CSNK1A1-1	0.0	A549	cutting_control	10
CSNK1A1-2	0.0	A549	cutting_control	10
CTNNB1-1	0.0	A549	cutting_control	10
CTNNB1-2	0.3	A549	cutting_control	10
Chr2-1	0.0	A549	cutting_control	10
Chr2-2	0.9	A549	cutting_control	10
Chr2-3	0.2	A549	cutting_control	10
Chr2-4	0.5	A549	cutting_control	10
Chr2-5	0.9	A549	cutting_control	10
Chr2-6	0.2	A549	cutting_control	10
DOT1L-1	0.0	A549	cutting_control	10
DOT1L-2	0.0	A549	cutting_control	10
EGFR-1	0.0	A549	cutting_control	10
EGFR-2	0.0	A549	cutting_control	10
EGLN1-8	0.0	A549	cutting_control	10
EGLN1-9	0.0	A549	cutting_control	10
EMPTY	0.0	A549	cutting_control	10
ERBB2-1	0.0	A549	cutting_control	10
ERBB2-2	0.0	A549	cutting_control	10
ERBB3-1	0.1	A549	cutting_control	10
ERBB3-2	0.2	A549	cutting_control	10
EZH2-1	0.1	A549	cutting_control	10
EZH2-2	0.5	A549	cutting_control	10
GLS-1	0.0	A549	cutting_control	10
GLS-2	0.0	A549	cutting_control	10
GPX4-1	0.5	A549	cutting_control	10
GPX4-2	0.2	A549	cutting_control	10
HIF1a-1	0.1	A549	cutting_control	10
HIF1a-2	0.3	A549	cutting_control	10
ITGAV-1	0.0	A549	cutting_control	10
ITGAV-2	0.0	A549	cutting_control	10
JAK3-1	0.0	A549	cutting_control	10
JAK3-2	0.1	A549	cutting_control	10
KIF11-1	0.0	A549	cutting_control	10
KIF11-2	0.0	A549	cutting_control	10
KRAS-1	0.0	A549	cutting_control	10
KRAS-2A	0.0	A549	cutting_control	10
KRAS-2B	0.0	A549	cutting_control	10
LacZ-2	0.3	A549	cutting_control	10
LacZ-3	0.0	A549	cutting_control	10
Luc-1	0.1	A549	cutting_control	10
Luc-2	0.0	A549	cutting_control	10
MAPK1-1	0.1	A549	cutting_control	10
MAPK1-2	0.0	A549	cutting_control	10
MCL1-2	0.7	A549	cutting_control	10
MCL1-5	0.1	A549	cutting_control	10
MTOR-1	0.0	A549	cutting_control	10
MTOR-2	0.0	A549	cutting_control	10
MYC-1	0.0	A549	cutting_control	10
MYC-2	0.0	A549	cutting_control	10
ORC4-1	0.1	A549	cutting_control	10
ORC4-2	0.0	A549	cutting_control	10
PIK3CA-1	0.0	A549	cutting_control	10
PIK3CA-2	0.1	A549	cutting_control	10
POLR2D-1	0.0	A549	cutting_control	10
