DepMap_ID,stripped_cell_line_name,CCLE_Name,Alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,WTSI_Master_Cell_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-000020,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908132.0,Female,DSMZ,,,,,,CVCL_1409,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",15,SIDM00331,1906.0,,blood,ALL,b_cell,
ACH-000021,NCIH1693,NCIH1693_LUNG,,687802.0,Female,ATCC,4.0,-3.650513454181047,Adherent,RPMI + 10% FBS,85.9,CVCL_1488,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",55,SIDM00742,634.0,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000022,PATU8988S,PATU8988S_PANCREAS,,,Female,DSMZ,2.0,-4.872597074238469,Adherent,DMEM + 10% FBS + 2mM Glutamax,93.7,CVCL_1846,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,SIDM00452,,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000023,PATU8988T,PATU8988T_PANCREAS,,1240201.0,Female,DSMZ,,,,,,CVCL_1847,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,SIDM00453,1242.0,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000024,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909249.0,Female,DSMZ,2.0,-3.992180717539112,Suspension,RPMI + 10% FBS,71.9,CVCL_1625,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,56,SIDM00457,112.0,,plasma_cell,multiple_myeloma,,
ACH-000025,CH157MN,CH157MN_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,2.0,-4.186946841168177,not found,not found,92.8,CVCL_5723,central_nervous_system,,Brain Cancer,Meningioma,,,,,central_nervous_system,meningioma,,
ACH-000026,253JBV,253JBV_URINARY_TRACT,,,Male,KCLB,0.0,-1.6854705369962608,Adherent,DMEM + 10% FBS,89,CVCL_7937,lymph_node,Metastasis,Bladder Cancer,Carcinoma,53,,,,urinary_tract,bladder_carcinoma,,
ACH-000027,GOS3,GOS3_CENTRAL_NERVOUS_SYSTEM,,,Male,DSMZ,,,,,,CVCL_2050,central_nervous_system,Primary,Brain Cancer,Glioblastoma,55,,,,central_nervous_system,glioma,glioblastoma,
ACH-000028,KPL1,KPL1_BREAST,,,Female,DSMZ,3.0,-3.4146547554709725,Adherent,DMEM + 10% FBS,69.6,CVCL_2094,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,50,SIDM00147,,,breast,breast_carcinoma,ERpos_HER2neg,luminal
ACH-000029,HCC827GR5,HCC827GR5_LUNG,HCC827 GR5,,Female,Academic lab,2.0,-4.519949188347488,not found,not found,49.1,CVCL_V622,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,,,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000030,PC14,PC14_LUNG,,753608.0,Male,RIKEN,3.0,-5.2573397440493865,Adherent,RPMI + 10% FBS,91.6,CVCL_1640,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00237,198.0,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000031,PANC0213,PANC0213_PANCREAS,,,Female,ATCC,,,,,,CVCL_1634,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,,,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000032,MHHCALL3,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,DSMZ,,,,,,CVCL_0089,bone_marrow,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",11,,,,blood,ALL,b_cell,
ACH-000033,NCIH1819,NCIH1819_LUNG,,,Female,Academic lab,,,,,,CVCL_1497,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000034,PLB985,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"PLB985, PLB-985",,Female,Academic lab,,,,,,CVCL_2162,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),,SIDM00811,,,blood,AML,,
ACH-000035,NCIH1650,NCIH1650_LUNG,,687800.0,Male,ATCC,2.0,-3.023295750344012,Adherent,RPMI + 10% FBS,91.5,CVCL_1483,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",27,SIDM00745,1548.0,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000036,U343,U343_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,2.0,-3.536064023583529,not found,not found,82.2,CVCL_4773,central_nervous_system,,Brain Cancer,Glioblastoma,64,,,,central_nervous_system,glioma,glioblastoma,
ACH-000037,S117,S117_THYROID,,,Female,DSMZ,2.0,-4.075906648224997,,RPMI + 10% FBS,76.4,CVCL_1674,soft_tissue,,Sarcoma,Thyroid Sarcoma,47,SIDM00035,,,soft_tissue,thyroid_sarcoma,,
ACH-000038,EHEB,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906854.0,Female,DSMZ,,,,,,CVCL_1194,haematopoietic_and_lymphoid_tissue,,Lymphoma,B-cell,69,SIDM01049,39.0,,lymphocyte,lymphoma_unspecified,b_cell,
ACH-000039,SKNMC,SKNMC_BONE,,,Female,ATCC,3.0,-2.6279722691496517,Adherent,EMEM + 10% FBS,65.3,CVCL_0530,bone,Metastasis,Bone Cancer,Ewings Sarcoma,14,SIDM00634,,,bone,Ewing_sarcoma,,EWS_FLI
ACH-000040,U118MG,U118MG_CENTRAL_NERVOUS_SYSTEM,,687588.0,Male,ATCC,2.0,-3.785502015904844,Adherent,DMEM + 10% FBS,69.1,CVCL_0633,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM01193,7.0,,central_nervous_system,glioma,astrocytoma,
ACH-000041,RDES,RDES_BONE,,,Male,ATCC,2.0,-2.7316373364607416,Adherent,RPMI + 15% FBS,88.3,CVCL_2169,bone,Primary,Bone Cancer,Ewings Sarcoma,19,,,,bone,Ewing_sarcoma,,EWS_FLI
ACH-000042,PANC0203,PANC0203_PANCREAS,,1298475.0,Female,ATCC,4.0,-3.3422965160792035,Adherent,RPMI + 10% FBS + 1mM Sodium pyruvate,88.9,CVCL_1633,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",70,SIDM01139,1838.0,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000043,HS895T,HS895T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_0993,fibroblast,Metastasis,Fibroblast,Skin,48,,,,fibroblast,fibroblast_skin,,
ACH-000044,MDAMB134VI,MDAMB134VI_BREAST,,,Female,ATCC,,,,,,CVCL_0617,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,47,SIDM00005,,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal
ACH-000045,MV411,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV-4-11,908156.0,Male,ATCC,2.0,-2.8806226850125216,Suspension,IMDM + 10% FBS,89,CVCL_0064,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),10,SIDM00657,133.0,,blood,AML,,
ACH-000046,ACHN,ACHN_KIDNEY,,905950.0,Male,ATCC,,,,,,CVCL_1067,pleural_effusion,Metastasis,Kidney Cancer,Renal Cell Carcinoma,22,SIDM00123,371.0,,kidney,renal_cell_carcinoma,,
ACH-000047,GCIY,GCIY_STOMACH,,906869.0,Female,RIKEN,2.0,-5.0234258226325395,,MEM + 15% FBS,89.6,CVCL_1228,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,,SIDM00274,1414.0,,gastric,gastric_adenocarcinoma,,
ACH-000048,TOV112D,TOV112D_OVARY,,1299070.0,Female,ATCC,2.0,-3.0907941270929666,Adherent,MCDB 105:Medium 199 (1:1) + 15% FBS + 1.5g/l Sodium bicarbonate,47.6,CVCL_3612,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, endometrioid",42,SIDM01170,5.0,,ovary,ovary_adenocarcinoma,endometrioid,
ACH-000049,HEKTE,HEKTE_KIDNEY,,,Unknown,Academic lab,,,,,,CVCL_WS59,kidney,,Engineered,,,,,,engineered_kidney,,,
ACH-000050,NCIH929,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,724825.0,Female,ATCC,,,,,,CVCL_1600,pleural_effusion,Metastasis,Myeloma,"Multiple Myeloma, plasmacytoma",62,SIDM01148,1230.0,,plasma_cell,multiple_myeloma,plasmacytoma,
ACH-000051,TE617T,TE617T_SOFT_TISSUE,,,Female,ATCC,,,,,,CVCL_1755,soft_tissue,Primary,Sarcoma,Rhabdomyosarcoma,1.67,,,,soft_tissue,rhabdomyosarcoma,,
ACH-000052,A673,A673_BONE,,684052.0,Female,ATCC,2.0,-2.9456650173134338,Adherent,DMEM + 10% FBS,67.2,CVCL_0080,soft_tissue,Primary,Bone Cancer,Ewings Sarcoma,15,SIDM00848,660.0,,bone,Ewing_sarcoma,,EWS_FLI
ACH-000053,KARPAS299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907273.0,Male,Academic lab,3.0,-5.35130251500497,Suspension,RPMI + 20% FBS + 2mM Glutamine,55.5,CVCL_1324,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",25,SIDM01010,906.0,,lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,
ACH-000054,HT1080,HT1080_SOFT_TISSUE,,907064.0,Male,ATCC,2.0,-3.871935080003693,Adherent,EMEM + 10% FBS,85.9,CVCL_0317,soft_tissue,Metastasis,Sarcoma,Fibrosarcoma,35,SIDM00828,1391.0,,soft_tissue,fibrosarcoma,,
ACH-000055,D283MED,D283MED_CENTRAL_NERVOUS_SYSTEM,D283,906834.0,Male,ATCC,3.0,-3.7727600167815334,Adherent,EMEM + 10% FBS,69.3,CVCL_1155,abdomen,Metastasis,Brain Cancer,Medulloblastoma,6,SIDM00888,1184.0,,central_nervous_system,medulloblastoma,med_group_3,MYC_exp
ACH-000056,DOHH2,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906842.0,Male,DSMZ,,,,,,CVCL_1179,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),60,SIDM00981,1339.0,,lymphocyte,non_hodgkin_lymphoma,DLBCL,
ACH-000057,OPM1,OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,Academic lab,,,,,,CVCL_5210,haematopoietic_and_lymphoid_tissue,,Myeloma,Multiple Myeloma,,SIDM00456,,,plasma_cell,multiple_myeloma,,
ACH-000058,ML1,ML1_THYROID,,1240178.0,Unknown,DSMZ,,,,,,CVCL_H525,thyroid,,Thyroid Cancer,"Carcinoma, follicular",,SIDM00442,1227.0,,thyroid,thyroid_carcinoma,follicular,
ACH-000059,SUPB15,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1247871.0,Male,ATCC,,,,,,CVCL_0103,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",9,SIDM01176,786.0,,blood,ALL,b_cell,
ACH-000060,PANC1005,PANC1005_PANCREAS,,925348.0,Male,ATCC,2.0,-3.4226334208013616,Adherent,RPMI + 15% FBS + 2mM Glutamine + 1mM Sodium pyruvate + 60ug/ml Insulin + 10mM HEPES + 1.5g/l Sodium bicarbonate + 4.5g/l Glucose,93.2,CVCL_1639,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",56,SIDM01135,197.0,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000061,HH,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907056.0,Male,ATCC,,,,,,CVCL_1280,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",61,SIDM00671,310.0,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,
ACH-000062,RERFLCMS,RERFLCMS_LUNG,,910931.0,Male,JCRB,,,,,,CVCL_1655,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00355,2051.0,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000063,HS616T,HS616T_FIBROBLAST,,,Male,,,,,,,CVCL_0825,fibroblast,,Fibroblast,Lymphoma,16,,,,fibroblast,fibroblast_lymphocyte,,
ACH-000064,SALE,SALE_LUNG,,,Unknown,Academic lab,,,,,,CVCL_WS60,lung,,Engineered,,,,,,engineered_lung,,,
ACH-000065,OCIAML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330983.0,Male,DSMZ,,,,,,CVCL_1620,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),77,SIDM00461,2130.0,,blood,AML,,
ACH-000066,HCC4006,HCC4006_LUNG,,,Male,ATCC,,,,,,CVCL_1269,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000067,HS683,HS683_CENTRAL_NERVOUS_SYSTEM,,1240150.0,Male,ATCC,2.0,-3.664959708798694,Adherent,DMEM + 10% FBS,60.7,CVCL_0844,central_nervous_system,Primary,Brain Cancer,Oligodendroglioma,76,SIDM00666,769.0,,central_nervous_system,glioma,oligodendroglioma,
ACH-000068,REC1,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,,,,,,CVCL_1884,lymph_node,,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",61,,,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,
ACH-000069,HS611T,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,ATCC,,,,,,CVCL_0823,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Hodgkins",48,,,,lymphocyte,hodgkin_lymphoma,,
ACH-000070,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906800.0,Male,DSMZ,2.0,-3.4631431166002318,Adherent,RPMI + 20% heat inactivated FBS,52,CVCL_0079,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",12,SIDM01076,63.0,,blood,ALL,b_cell,
ACH-000071,HS706T,HS706T_BONE,,,Female,ATCC,,,,,,CVCL_0863,fibroblast,,Fibroblast,Bone,16,,,,fibroblast,fibroblast_bone,,
ACH-000072,MEG01,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908126.0,Male,ATCC,0.0,-0.8617775749954423,,,,CVCL_0425,bone_marrow,,Leukemia,Chronic Myelogenous Leukemia (CML),55,SIDM00526,1263.0,,blood,CML,,
ACH-000073,GRANTA519,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1303897.0,Female,DSMZ,,,,,,CVCL_1818,haematopoietic_and_lymphoid_tissue,Primary,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",58,SIDM01058,1776.0,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,
ACH-000074,KU812,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907311.0,Male,ATCC,2.0,-3.287602522717895,,RPMI + 10% FBS,72.3,CVCL_0379,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",38,SIDM00308,598.0,,blood,CML,blast_crisis,
ACH-000075,U87MG,U87MG_CENTRAL_NERVOUS_SYSTEM,,687590.0,Unknown,ATCC,2.0,-2.3189581603709932,Adherent,EMEM + 10% FBS,62.1,CVCL_0022,central_nervous_system,Primary,Brain Cancer,Astrocytoma,44,SIDM01189,549.0,,central_nervous_system,glioma,astrocytoma,
ACH-000076,NCO2,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,HSRRB,2.0,-3.9335796749184095,,RPMI + 10% FBS,55,CVCL_3043,haematopoietic_and_lymphoid_tissue,,Leukemia,Chronic Myelogenous Leukemia (CML),35,,,,blood,CML,,
ACH-000077,MJ,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,,,,,,CVCL_1414,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",50,,,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,
ACH-000078,MHHNB11,MHHNB11_AUTONOMIC_GANGLIA,,908135.0,Male,DSMZ,3.0,-2.124524035701905,Adherent,RPMI + 10% FBS,60.3,CVCL_1412,autonomic_ganglia,Metastasis,Neuroblastoma,,4,SIDM00387,1818.0,,peripheral_nervous_system,neuroblastoma,,MYCN_amp
ACH-000079,TE125T,TE125T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_1740,fibroblast,,Fibroblast,Soft tissue,1,,,,fibroblast,fibroblast_soft_tissue,,
ACH-000080,BDCM,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,0.0,-1.0975210552208097,,RPMI + 10% FBS,74.2,CVCL_4613,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",,,,,blood,AML,M5,
ACH-000081,GDM1,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906870.0,Female,ATCC,,,,,,CVCL_1230,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),66,SIDM01057,164.0,,blood,AML,,
ACH-000082,G292CLONEA141B1,G292CLONEA141B1_BONE,"G292CLONEA141B1, G-292 clone A141B1",1290807.0,Female,ATCC,2.0,-4.365853783316597,Adherent,McCoy's 5A + 10% FBS,75.2,CVCL_2909,bone,Primary,Bone Cancer,Osteosarcoma,9,SIDM00858,661.0,,bone,osteosarcoma,,
ACH-000083,HS281T,HS281T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_0715,fibroblast,,Fibroblast,Breast,37,,,,fibroblast,fibroblast_breast,,
ACH-000084,MUTZ3,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MUTZ3,,Male,DSMZ,,,,,,CVCL_1433,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),29,,,,blood,AML,,
ACH-000085,T3M4,T3M4_PANCREAS,,,Male,RIKEN,1.0,-2.8620326229823,Adherent,F12 + 10% FBS,92.9,CVCL_4056,lymph_node,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,,,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000086,ACCMESO1,ACCMESO1_PLEURA,,,Female,RIKEN,2.0,-4.054069394672587,,RPMI + 10% FBS + Glutamax + Sodium pyruvate,78.6,CVCL_5113,pleura,,Lung Cancer,Mesothelioma,61,,,,lung,mesothelioma,,
ACH-000087,SKES1,SKES1_BONE,,684072.0,Male,ATCC,2.0,-3.082132260280724,,McCoy's 5A + 15% FBS,58,CVCL_0627,bone,Primary,Bone Cancer,Ewings Sarcoma,18,SIDM01111,41.0,,bone,Ewing_sarcoma,,EWS_FLI
ACH-000088,HS172T,HS172T_FIBROBLAST,,,Male,ATCC,,,,,,CVCL_0660,fibroblast,,Fibroblast,Bladder,50,,,,fibroblast,fibroblast_urinary_tract,,
ACH-000089,NCIH684,NCIH684_LARGE_INTESTINE,,,Male,KCLB,,,,,,CVCL_9980,liver,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,55,,,,colorectal,colorectal_adenocarcinoma,,
ACH-000090,PC3,PC3_PROSTATE,,905934.0,Male,ATCC,0.0,-2.134615022331149,,,,CVCL_0035,bone,Metastasis,Prostate Cancer,Adenocarcinoma,62,SIDM00088,911.0,,prostate,prostate_adenocarcinoma,,
ACH-000091,OV56,OV56_OVARY,,1480362.0,Female,ECACC,,,,,,CVCL_2673,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, serous",46,SIDM00475,686.0,,ovary,ovary_adenocarcinoma,serous,
ACH-000092,NCIH2452,NCIH2452_PLEURA,,908462.0,Male,ATCC,2.0,-4.0210945439007615,Adherent,RPMI + 10% FBS,85.7,CVCL_1553,pleura,Metastasis,Lung Cancer,Mesothelioma,,SIDM00722,624.0,,lung,mesothelioma,,
ACH-000093,PANC0504,PANC0504_PANCREAS,,,Female,ATCC,2.0,-1.5726689183549158,,,,CVCL_1637,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",77,,,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000094,HPAFII,HPAFII_PANCREAS,,724869.0,Male,ATCC,,,,,,CVCL_0313,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",44,SIDM00669,889.0,,pancreas,exocrine,exocrine_adenocarcinoma,
